date,open,high,low,close,volume
2024-05-08 04:00:00,73.51,73.66,72.61,72.72,5054088.0
2024-05-09 04:00:00,72.74,74.145,72.74,74.1,6134777.0
2024-05-10 04:00:00,74.2,74.3,73.535,73.69,3790579.0
2024-05-13 04:00:00,73.68,73.83,72.66,72.81,6182025.0
2024-05-14 04:00:00,72.6,73.64,72.31,73.49,5848511.0
2024-05-15 04:00:00,73.86,74.6713,73.86,74.45,4492569.0
2024-05-16 04:00:00,74.43,74.765,74.175,74.55,5636940.0
2024-05-17 04:00:00,74.94,74.94,74.06,74.65,6978299.0
2024-05-20 04:00:00,74.81,76.07,74.81,75.36,6534124.0
2024-05-21 04:00:00,75.56,76.115,75.45,75.67,5801543.0
2024-05-22 04:00:00,75.95,76.25,75.145,75.37,6390277.0
2024-05-23 04:00:00,75.47,75.52,74.29,74.38,5581323.0
2024-05-24 04:00:00,74.54,76.13,74.54,75.63,4786625.0
2024-05-28 04:00:00,75.59,75.82,74.86,75.17,4252437.0
2024-05-29 04:00:00,74.78,75.38,74.78,74.98,6809504.0
2024-05-30 04:00:00,75.11,75.5,74.62,75.0,5150739.0
2024-05-31 04:00:00,75.18,75.68,74.43,75.57,8825296.0
2024-06-03 04:00:00,75.36,75.92,74.84,75.5,3217224.0
2024-06-04 04:00:00,75.38,76.11,75.16,75.92,3245818.0
2024-06-05 04:00:00,76.0,76.04,75.48,75.89,5194012.0
2024-06-06 04:00:00,75.75,76.3091,75.35,76.12,5979075.0
2024-06-07 04:00:00,76.6,77.555,76.35,77.11,6919038.0
2024-06-10 04:00:00,76.95,77.53,76.7,77.42,3471789.0
2024-06-11 04:00:00,77.44,77.465,76.75,77.15,3754702.0
2024-06-12 04:00:00,77.2,77.64,76.68,77.41,3219862.0
2024-06-13 04:00:00,77.11,77.3,76.25,76.96,4054303.0
2024-06-14 04:00:00,76.85,77.03,76.43,76.76,3540518.0
2024-06-17 04:00:00,76.38,76.72,75.96,76.19,6443574.0
2024-06-18 04:00:00,76.13,76.49,75.38,76.31,5365864.0
2024-06-20 04:00:00,76.6,77.26,76.4,77.0,8725728.0
2024-06-21 04:00:00,77.1,77.81,76.9,77.71,9938194.0
2024-06-24 04:00:00,77.7,77.99,76.54,76.71,5594645.0
2024-06-25 04:00:00,76.9,77.6,76.635,77.51,6238098.0
2024-06-26 04:00:00,77.17,77.425,76.76,77.1,6013179.0
2024-06-27 04:00:00,77.15,77.5,76.65,77.0,4196200.0
2024-06-28 04:00:00,77.01,77.435,76.7,77.01,7685548.0
2024-07-01 04:00:00,77.3,77.95,76.24,76.41,4234519.0
2024-07-02 04:00:00,76.39,76.73,75.91,76.55,3321846.0
2024-07-03 04:00:00,76.8,77.0,75.71,76.11,2144448.0
2024-07-05 04:00:00,76.56,76.68,75.77,76.4,4641155.0
2024-07-08 04:00:00,76.37,76.43,75.99,76.11,4537746.0
2024-07-09 04:00:00,76.45,76.75,76.07,76.51,3954708.0
2024-07-10 04:00:00,76.55,77.15,76.03,77.11,3335061.0
2024-07-11 04:00:00,77.08,77.235,76.6078,76.89,5818465.0
2024-07-12 04:00:00,76.88,77.8799,76.67,77.69,4430852.0
2024-07-15 04:00:00,78.0,78.98,77.71,78.02,6481831.0
2024-07-16 04:00:00,78.01,78.46,77.64,78.14,4243343.0
2024-07-17 04:00:00,78.07,78.39,77.08,77.41,5215180.0
2024-07-18 04:00:00,77.2,77.65,74.1529,75.55,9579826.0
2024-07-19 04:00:00,76.9,77.685,76.22,77.56,7913032.0
2024-07-22 04:00:00,77.67,78.635,77.47,78.27,6471013.0
2024-07-23 04:00:00,78.56,79.43,78.19,78.59,6718960.0
2024-07-24 04:00:00,76.6,78.09,75.41,77.76,15546852.0
2024-07-25 04:00:00,78.25,78.76,74.13,74.26,10960810.0
2024-07-26 04:00:00,74.5,75.6737,74.42,74.92,7973424.0
2024-07-29 04:00:00,75.22,75.705,74.46,75.59,6993250.0
2024-07-30 04:00:00,75.3,75.49,73.425,74.03,9997486.0
2024-07-31 04:00:00,74.5,74.566,73.47,73.88,8446689.0
2024-08-01 04:00:00,74.12,75.18,73.86,75.16,5946254.0
2024-08-02 04:00:00,75.12,75.36,73.34,74.5,5500518.0
2024-08-05 04:00:00,73.46,73.575,71.88,72.96,7241498.0
2024-08-06 04:00:00,73.58,74.77,73.02,73.76,5107344.0
2024-08-07 04:00:00,73.8,74.74,73.61,73.78,4624210.0
2024-08-08 04:00:00,74.28,75.775,74.01,75.55,4505035.0
2024-08-09 04:00:00,75.53,76.325,74.995,76.19,3835101.0
2024-08-12 04:00:00,75.96,76.25,75.44,75.94,4042970.0
2024-08-13 04:00:00,76.1,76.225,75.6,75.92,4011629.0
2024-08-14 04:00:00,75.94,76.55,75.53,76.42,3623263.0
2024-08-15 04:00:00,76.75,77.815,76.6,77.58,4730327.0
2024-08-16 04:00:00,77.68,78.31,77.2875,78.25,4414404.0
2024-08-19 04:00:00,78.1,78.99,77.71,78.68,4277664.0
2024-08-20 04:00:00,78.9,79.05,78.0801,78.48,3154194.0
2024-08-21 04:00:00,78.53,78.95,78.295,78.81,3232615.0
2024-08-22 04:00:00,79.36,79.92,79.0,79.58,3874343.0
