date,open,high,low,close,volume
2024-09-03 04:00:00,90.775,90.825,87.64,88.35,109250.0
2024-09-04 04:00:00,87.71,88.65,87.07,87.24,61370.0
2024-09-05 04:00:00,87.045,87.67,85.52,87.61,111726.0
2024-09-06 04:00:00,87.76,88.74,86.38,86.88,151917.0
2024-09-09 04:00:00,88.08,88.56,87.38,87.475,135355.0
2024-09-10 04:00:00,87.83,88.04,86.915,88.04,148358.0
2024-09-11 04:00:00,87.63,89.85,86.425,89.585,103286.0
2024-09-12 04:00:00,89.68,90.635,88.115,89.85,224470.0
2024-09-13 04:00:00,90.16,91.81,89.64,91.02,110750.0
2024-09-16 04:00:00,91.81,92.095,90.535,90.9,84575.0
2024-09-17 04:00:00,91.275,94.03,91.275,94.0,99280.0
2024-09-18 04:00:00,93.95,95.805,93.28,93.74,107848.0
2024-09-19 04:00:00,95.95,97.7,94.965,97.63,101461.0
2024-09-20 04:00:00,96.96,97.965,96.055,96.78,128078.0
2024-09-23 04:00:00,97.195,98.01,96.88,97.52,78551.0
2024-09-24 04:00:00,98.175,99.57,97.65,98.01,115382.0
2024-09-25 04:00:00,97.71,97.83,94.51,95.06,101783.0
2024-09-26 04:00:00,96.58,97.25,95.05,96.43,118326.0
2024-09-27 04:00:00,96.49,99.11,96.455,98.06,105822.0
2024-09-30 04:00:00,97.64,98.24,96.91,98.12,56781.0
2024-10-01 04:00:00,98.12,98.67,96.905,98.02,112811.0
2024-10-02 04:00:00,97.44,100.725,97.395,99.92,189012.0
2024-10-03 04:00:00,99.305,99.715,98.205,98.94,97623.0
2024-10-04 04:00:00,99.73,101.13,99.22,101.1,77165.0
2024-10-07 04:00:00,99.91,101.355,99.78,100.01,138307.0
2024-10-08 04:00:00,100.245,100.245,97.7,98.9,110341.0
2024-10-09 04:00:00,98.49,99.7,98.49,99.42,66584.0
2024-10-10 04:00:00,99.4,99.4,98.335,98.575,93110.0
2024-10-11 04:00:00,98.74,100.84,98.74,100.77,158477.0
2024-10-14 04:00:00,100.99,102.67,100.87,102.48,86720.0
2024-10-15 04:00:00,102.6,102.67,100.515,100.71,75028.0
2024-10-16 04:00:00,100.765,101.0,100.23,100.35,89142.0
2024-10-17 04:00:00,101.03,101.795,100.98,101.08,72871.0
2024-10-18 04:00:00,100.84,100.905,100.21,100.4,68743.0
2024-10-21 04:00:00,100.79,100.875,99.74,100.04,115391.0
2024-10-22 04:00:00,99.77,99.77,98.47,98.47,82751.0
2024-10-23 04:00:00,97.645,97.89,96.0,96.42,185218.0
2024-10-24 04:00:00,96.465,96.47,95.59,95.96,103229.0
2024-10-25 04:00:00,96.585,97.14,95.69,96.11,96991.0
2024-10-28 04:00:00,96.6,98.05,96.6,97.145,153056.0
2024-10-29 04:00:00,96.06,97.77,95.955,97.29,54348.0
2024-10-30 04:00:00,97.08,97.805,96.77,97.27,94150.0
2024-10-31 04:00:00,97.255,97.34,95.95,95.99,137686.0
2024-11-01 04:00:00,93.65,97.8,93.65,93.95,145618.0
2024-11-04 05:00:00,94.215,96.215,93.9,94.6,129735.0
2024-11-05 05:00:00,95.375,97.795,95.375,97.67,99856.0
2024-11-06 05:00:00,102.12,103.115,101.01,102.995,119557.0
2024-11-07 05:00:00,102.99,103.96,102.69,103.5,100136.0
2024-11-08 05:00:00,103.15,103.805,102.435,102.57,137341.0
2024-11-11 05:00:00,103.045,105.32,102.66,104.8,112348.0
2024-11-12 05:00:00,104.835,105.575,104.065,104.23,94824.0
2024-11-13 05:00:00,104.485,105.18,104.16,104.35,73087.0
2024-11-14 05:00:00,104.62,104.66,102.845,102.96,72664.0
2024-11-15 05:00:00,103.125,103.64,102.06,102.42,114096.0
2024-11-18 05:00:00,101.65,102.34,101.22,101.65,72708.0
2024-11-19 05:00:00,100.555,102.43,100.235,102.36,86990.0
2024-11-20 05:00:00,102.59,103.175,101.525,103.11,88285.0
2024-11-21 05:00:00,103.275,103.835,102.55,103.08,77859.0
2024-11-22 05:00:00,103.1,104.94,103.1,103.99,120985.0
2024-11-25 05:00:00,104.565,106.03,104.56,105.3,111027.0
2024-11-26 05:00:00,104.99,105.175,104.315,104.69,130260.0
2024-11-27 05:00:00,105.0,105.18,103.59,104.05,65464.0
2024-11-29 05:00:00,104.05,104.555,103.79,104.25,46518.0
2024-12-02 05:00:00,104.71,105.37,104.055,105.16,94559.0
2024-12-03 05:00:00,104.99,104.99,103.83,104.25,43679.0
2024-12-04 05:00:00,104.415,104.64,103.63,103.95,80108.0
2024-12-05 05:00:00,103.27,103.82,102.64,102.97,101530.0
2024-12-06 05:00:00,103.4,103.575,102.17,102.3,58756.0
