Price,Close,High,Low,Open,Volume
Ticker,CTRA,CTRA,CTRA,CTRA,CTRA
Date,,,,,
2015-12-21,11.806143760681152,11.893381887488978,11.253639321839541,11.4135749632519,14996100
2015-12-22,12.009696960449219,12.184171805596803,11.682555759170743,11.747983999426438,6525200
2015-12-23,12.8239107131958,13.027465357720484,12.35137458167331,12.365914496268482,9987100
2015-12-24,12.867531776428223,13.151053207093714,12.63489727885867,12.852991860342115,4288400
2015-12-28,12.533121109008789,12.831182466927114,12.40226463253679,12.649437668849952,8086800
2015-12-29,12.867531776428223,13.172863081222873,12.525850681418305,12.947498541696374,6643500
2015-12-30,12.36591625213623,12.867532284074793,12.336836418816768,12.504042687198137,5881000
2015-12-31,12.860260963439941,12.911149279755563,12.336835111958996,12.424073216073362,4892800
2016-01-04,12.787564277648926,13.042007275739934,12.584009601855561,12.845722558360917,8618100
2016-01-05,12.77302074432373,12.99111527519547,12.40953124613989,12.838448964925012,11622200
2016-01-06,11.64620590209961,12.38045498391066,11.551698532760446,12.373185026276573,10378100
2016-01-07,12.053312301635742,12.140550395628159,11.399031449801237,11.420840626648726,8536800
2016-01-08,12.50404167175293,12.605818306900293,12.024235553768712,12.198710379708185,9737100
2016-01-11,11.631664276123047,12.474959825213773,11.471728698202014,12.416801559297255,13468500
2016-01-12,11.25363826751709,11.871570896921414,10.81745114085059,11.864300938151617,10973900
2016-01-13,11.413570404052734,11.806139044668775,11.086429985756237,11.420840360599621,10984300
2016-01-14,11.857027053833008,11.958805056311322,11.377221026700262,11.522617380753626,9906800
2016-01-15,11.929725646972656,11.94426556020563,11.188207404621597,11.246365670951043,9172200
2016-01-19,11.944267272949219,12.191440286943259,11.740712618306292,12.016965462936168,11946100
2016-01-20,12.46768856048584,12.627624814926897,11.500806624446586,11.668011448087427,13646200
2016-01-21,13.558162689208984,13.78352586769606,12.264140516022351,12.322298800361043,14184300
2016-01-22,14.205171585083008,14.219710112554253,13.521810876243565,14.074315131624122,11941000
2016-01-25,13.376416206359863,14.379648219133406,13.36187629044078,13.768985616558911,12120500
2016-01-26,14.125207901000977,14.176096229712702,13.507275223923676,13.674480128720191,6170300
2016-01-27,14.205255508422852,14.882042990396442,13.83411394127503,14.023323449313025,8959100
2016-01-28,14.110648155212402,14.896594488929574,14.059707407624545,14.845653741341717,12925200
2016-01-29,15.100361824035645,15.136747682856848,14.263474578864074,14.321692785796925,9220300
2016-02-01,14.962091445922852,15.187688187947339,14.39446433664787,14.729218643345279,9388000
2016-02-02,14.838371276855469,15.282285735239423,14.401735651987556,14.678271640272621,15546800
2016-02-03,15.406002044677734,15.435110443334585,14.467232244459126,15.151296963282924,9322800
2016-02-04,15.209519386291504,15.63160169464875,14.700110469601814,15.333233238121977,10800800
2016-02-05,15.034862518310547,15.369618167942651,14.605502825887688,15.12946794913251,8257900
2016-02-08,15.224072456359863,16.191950808731317,14.561839972528409,14.780157855186445,13119600
2016-02-09,14.256195068359375,15.114914537490531,13.79772554052024,14.860209398472271,12782100
2016-02-10,14.372631072998047,14.554563111896757,13.724953458688658,14.183421585979634,8300400
2016-02-11,14.4599609375,14.620060652800541,13.630349788680695,14.023323709915863,8201900
2016-02-12,14.372631072998047,14.889317397215358,13.877775705108549,14.707385358316648,7248400
2016-02-16,14.016043663024902,14.62005794302093,13.448415233570437,14.62005794302093,8950000
2016-02-17,14.911152839660645,14.947540087819338,13.848670177995473,14.125206323843578,6714800
2016-02-18,14.227082252502441,14.940256767843916,14.052427694060972,14.940256767843916,9190800
2016-02-19,14.489067077636719,14.903871893098032,13.630347655017236,14.081539710099618,11493800
2016-02-22,15.675262451171875,15.966353385913237,14.678274438147758,14.874761339609828,9209700
2016-02-23,14.016043663024902,14.845653270047315,13.943270573910551,14.794712524076637,76176600
2016-02-24,14.343518257141113,14.532727704277283,13.688563332765764,13.768613857177877,14559000
2016-02-25,14.125205993652344,14.598229104405211,13.841392404806935,14.343523925374727,12465500
2016-02-26,14.874760627746582,14.88203807427072,14.278023893077124,14.649163949591252,10950100
2016-02-29,14.649166107177734,14.867485370963841,13.834111408863642,14.80926717822712,13897400
2016-03-01,15.275012969970703,15.406004252778718,14.248916438682873,14.838375823287722,11277400
2016-03-02,16.04640769958496,16.053685148803982,15.136747367680337,15.18041206299445,9646400
2016-03-03,16.13373374938965,16.41026984608346,15.777147109007288,15.929969360014866,10157200
2016-03-04,15.624324798583984,16.519431587855788,15.37689708617148,16.388440282692525,10682000
2016-03-07,16.29383087158203,16.366603955422075,15.28956675628903,15.60249004517943,12308700
2016-03-08,15.551548957824707,16.053680310313766,15.471498428573803,16.024571910242315,8914100
2016-03-09,15.464223861694336,15.99546510122737,14.38718648586621,15.908138496717713,22277900
2016-03-10,15.944520950317383,16.12645295695088,14.882038697832655,15.049415810808021,12185600
2016-03-11,15.980911254882812,16.37388516510031,15.748038443508639,16.308389513397398,5833000
2016-03-14,16.082794189453125,16.16284335103532,15.624324626433182,15.697097727170002,5385600
2016-03-15,16.432096481323242,16.446651372942096,15.755309289385984,15.915410321131661,5829600
2016-03-16,16.69408416748047,16.7523023640214,16.20650625093841,16.446656485173676,6480800
2016-03-17,16.563093185424805,16.96334312056261,16.315665498529366,16.91967981935498,6494800
2016-03-18,16.57036781311035,16.67952674156463,16.06823507658338,16.65769440066134,9133400
2016-03-21,15.857193946838379,16.51214887586481,15.748033635308124,16.475761642677718,7292600
2016-03-22,15.842641830444336,16.068237163622324,15.58793670561434,15.864472786152076,5288200
2016-03-23,15.624324798583984,16.01002126511676,15.566106594959363,15.740761205833225,5256500
2016-03-24,15.988183975219727,16.111897793177693,15.231347562088837,15.296843194421351,5672800
2016-03-28,16.05368423461914,16.133734783438314,15.580661166571568,16.01002092982297,5571600
2016-03-29,16.475767135620117,16.533985340098116,15.726207926469812,15.76987123282044,4779600
2016-03-30,16.526708602905273,16.664977365008113,16.25017246673114,16.650422466253804,4798500
2016-03-31,16.526708602905273,16.65769991563096,16.381163779456823,16.548540951036735,6860100
2016-04-01,16.38116455078125,16.52670938108283,16.155569161593252,16.199232471880567,5176800
2016-04-04,16.51943016052246,16.98517574927747,16.37388397002085,16.453934513599872,6589400
2016-04-05,16.242891311645508,16.461210579057393,16.082791625968436,16.315664400782804,7657900
2016-04-06,16.26472282409668,16.512150481707707,15.988185377104989,16.26472282409668,6151700
2016-04-07,16.934234619140625,16.94878951547056,16.177396666359872,16.228337415483324,5166700
2016-04-08,17.08705711364746,17.319929906169264,16.71591558005409,17.25443425976859,5596400
2016-04-11,16.6722469329834,17.341756690840025,16.563088019991415,17.094329081108388,5525000
2016-04-12,17.312654495239258,17.458199302008357,16.72319365552555,16.83235260761022,6140300
2016-04-13,16.883291244506836,17.305373456217954,16.63586359750055,17.305373456217954,6176300
2016-04-14,16.599485397338867,16.948796104907437,16.38844487063071,16.839635728024344,6293400
2016-04-15,16.759580612182617,16.905125416467502,16.250170327107114,16.44665727032464,6105200
2016-04-18,17.036115646362305,17.218047681362357,16.155565263217067,16.293832610434592,4518500
2016-04-19,17.08705711364746,17.42181279392105,16.919679967526335,17.2471581995297,4796800
2016-04-20,17.116167068481445,17.29809911286233,16.9633434294252,17.02883907644483,4432000
2016-04-21,16.614032745361328,17.196214679886292,16.52670476116697,17.072500845295835,5989700
2016-04-22,16.926950454711914,17.196208989822892,16.686800312679882,16.737741041591107,5510800
2016-04-25,16.2210636138916,16.87601877158691,15.96635844477912,16.650422011155893,12323900
2016-04-26,16.599485397338867,16.628595201316184,15.937252625205225,16.308394297724934,7699700
2016-04-27,17.51641273498535,17.589185812579384,16.483038919636947,16.795962181669573,9105000
2016-04-28,17.15983009338379,17.538249072712773,17.065226042567204,17.312653729972208,8760600
