Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
2015-12-21,7.933032512664795,8.060146083627828,7.898365525779672,8.025479096742705,31598000
2015-12-22,8.204593658447266,8.233483183329987,8.03125706017279,8.048591105715536,50646600
2015-12-23,8.297038078308105,8.308594106415086,8.239259590838454,8.245037604891943,22172300
2015-12-24,8.268150329589844,8.302817316980471,8.233482791177385,8.291261838190872,9000100
2015-12-28,8.193037033081055,8.285483058957109,8.181481004335659,8.2508155237427,13697500
2015-12-29,8.221924781799316,8.262370325379544,8.175701775726226,8.250814298350424,18867800
2015-12-30,8.18725872039795,8.239259745813968,8.158369200608854,8.221925703327456,13800300
2015-12-31,8.141036987304688,8.181481990746319,8.112147462979873,8.1699265116295,19881000
2016-01-04,8.071702003479004,8.089035496685794,7.944588434244976,8.013922958093952,38618500
2016-01-05,7.927254676818848,8.08903522707423,7.805919126371863,8.071701734445174,50267500
2016-01-06,7.574801921844482,7.8348070120970315,7.5401349438252625,7.8348070120970315,61285500
2016-01-07,7.337910175323486,7.534358255382991,7.280131684790664,7.4534677074109075,57846700
2016-01-08,7.245463848114014,7.569025475514681,7.222352342658376,7.5401359559396965,46199400
2016-01-11,7.378354072570801,7.407243035857159,7.251240540228536,7.395687560746946,41269100
2016-01-12,7.424579620361328,7.534359151140588,7.268576520229816,7.528581136093826,50983700
2016-01-13,7.049015998840332,7.418800648830186,6.96812600270195,7.355243593553718,102174700
2016-01-14,7.04323673248291,7.112571789735707,6.829455200514863,7.04323673248291,62938600
2016-01-15,6.916125297546387,6.933458790235873,6.690787688495873,6.823679268506729,69030000
2016-01-19,6.904567718505859,7.0259032421391225,6.829455199016537,7.020125228865711,41142600
2016-01-20,6.875679016113281,6.973903049288191,6.627230477219454,6.812122515656114,59879000
2016-01-21,6.939237594604492,7.095240148609094,6.852569019249171,6.939237594604492,48841800
2016-01-22,7.014349460601807,7.141462477185008,6.950792401288399,7.083683983562227,44537800
2016-01-25,6.921902179718018,7.1125727873749565,6.893013211335884,7.106794773289829,96738600
2016-01-26,7.083683013916016,7.106794518405883,6.9565694637108795,7.014348500446413,45969800
2016-01-27,7.0777106285095215,7.227029413333723,7.00603711054066,7.19716554244769,42064200
2016-01-28,6.994091033935547,7.203137534527942,6.689480614080076,7.185218872461697,75699800
2016-01-29,7.131464004516602,7.131464004516602,6.958254258959839,7.0657639526177904,52137400
2016-02-01,7.209110260009766,7.250919904256445,7.006036635287363,7.119519223035022,37301200
2016-02-02,6.874636173248291,7.215082779925703,6.838799418521562,7.137436952689367,55649200
2016-02-03,6.844773292541504,6.976173986005575,6.581972475219338,6.97020109775585,69454600
2016-02-04,6.8865814208984375,6.982145341284659,6.725317447648162,6.791017500512216,40223100
