Price,Close,High,Low,Open,Volume
Ticker,TGT,TGT,TGT,TGT,TGT
Date,,,,,
2015-12-21,53.29322052001953,53.47901476489618,52.82502106412691,53.14458739211436,3727800
2015-12-22,53.96208953857422,54.20733934170847,53.412140073659984,53.575634272424864,3524500
2015-12-23,54.7349853515625,54.84646303182852,54.20733037962637,54.28164694314027,2592900
2015-12-24,54.37826919555664,54.690402229096094,54.07356952090856,54.59379124347432,1097700
2015-12-28,54.15530776977539,54.57148505799965,53.67224160594919,54.281646493702,2427300
2015-12-29,55.32210159301758,55.73827892794917,54.504602299414906,54.60121894501755,4548300
2015-12-30,54.71269226074219,55.41870813603,54.668097785572826,55.41127477850336,2143600
2015-12-31,53.96208953857422,54.40799466336931,53.85804519845507,54.40799466336931,3488200
2016-01-04,54.66067123413086,54.77957660707608,53.15945050201441,53.38983356021431,8233300
2016-01-05,55.61935806274414,55.91662996523138,54.72011466846294,54.80186458339668,8191400
2016-01-06,55.0545539855957,55.58964233731167,54.53432667920936,54.8464653310374,4921400
2016-01-07,54.905921936035156,56.4814594243318,54.61608332153591,54.682972208723356,11289900
2016-01-08,53.04796600341797,55.582201998088685,52.96621608939699,55.15115802779439,7749000
2016-01-11,53.82086944580078,54.06611918227048,52.40140452288086,53.15944246198112,6369700
2016-01-12,54.51945877075195,54.66066419856555,53.97693712967068,54.229620228390274,4851100
2016-01-13,53.24119186401367,54.809295553098096,53.174308665611726,54.4674348646233,5963500
2016-01-14,52.327091217041016,53.24119568066773,52.02238594917205,53.22633463662075,6283200
2016-01-15,52.08184051513672,52.46085666631574,51.15286935442148,51.15286935442148,7435800
2016-01-19,51.45756530761719,52.43855855715618,51.05624911417084,51.91090365558494,5645400
2016-01-20,50.23133087158203,50.996807946860756,49.39154290005056,50.69953601189695,9395700
2016-01-21,51.01167297363281,51.7771444386669,50.194179341168955,50.588062275993025,6869300
2016-01-22,51.81431579589844,52.00754345737836,51.38327165490174,51.41299942359035,3740800
2016-01-25,51.21976089477539,52.01496011100337,51.16773872810593,51.851460252901944,5312200
2016-01-26,52.34940719604492,52.505473737822804,51.286663503944894,51.56906881716309,4052600
2016-01-27,52.53518295288086,53.412132023129494,52.08184453783764,52.17845550481767,3961400
2016-01-28,52.75813674926758,53.09256982095628,52.15616515821515,52.99595317647269,4073300
2016-01-29,53.82086944580078,53.90261935795735,52.78042065743612,52.86960392614957,5184500
2016-02-01,54.1255989074707,54.40800421307749,52.26765583639174,52.95137752575065,4714900
2016-02-02,54.48231506347656,54.55663731448543,53.74657127242064,54.03640990738182,4635500
2016-02-03,53.932369232177734,54.95052403841276,53.21148644024415,54.89106850155406,5444900
2016-02-04,52.0521354675293,52.52033509560516,51.37584144587168,52.52033509560516,7650400
2016-02-05,51.695369720458984,52.57975181269419,51.61361982941262,52.052097033205676,3764200
2016-02-08,52.02238845825195,52.23791046226356,50.7143953894186,51.41298356311204,5392400
2016-02-09,51.91834259033203,52.37168098700893,51.25691555321135,51.87375378737699,5110600
2016-02-10,51.10085678100586,52.542616437267846,50.959651323695,52.341961123712835,4691200
2016-02-11,50.57319641113281,51.40555101070502,50.275924481289685,50.773851703532415,3846100
2016-02-12,52.41657638549805,52.439061493172765,50.528233250469384,50.9778382143298,4651800
2016-02-16,53.57806396484375,53.62302274850907,52.22924328450817,52.91864369725613,3952000
2016-02-17,54.02767562866211,54.439816919980046,53.5930549427338,54.10260884970947,4933400
2016-02-18,54.34988021850586,54.454787845503205,52.079370450291016,53.16591618006506,5394800
