date,open,high,low,close,volume
2024-05-09 04:00:00,131.21,133.89,129.5001,133.55,1963887.0
2024-05-10 04:00:00,133.9,133.9,129.0567,129.62,1920618.0
2024-05-13 04:00:00,131.11,134.29,130.47,131.51,1562712.0
2024-05-14 04:00:00,133.0,137.0,132.865,135.46,2161769.0
2024-05-15 04:00:00,137.26,137.4958,126.65,127.57,3929707.0
2024-05-16 04:00:00,128.61,130.44,126.7501,129.19,1743633.0
2024-05-17 04:00:00,129.67,134.75,129.25,131.12,2283339.0
2024-05-20 04:00:00,131.0,131.0,126.3,130.15,2202923.0
2024-05-21 04:00:00,128.83,130.8,126.64,126.64,1655269.0
2024-05-22 04:00:00,124.0,128.35,122.8016,126.48,2423548.0
2024-05-23 04:00:00,126.76,126.76,122.67,122.95,1754358.0
2024-05-24 04:00:00,123.96,127.7,123.64,127.59,1445741.0
2024-05-28 04:00:00,128.28,129.5,125.895,127.76,2105265.0
2024-05-29 04:00:00,124.71,126.36,123.41,123.44,1765868.0
2024-05-30 04:00:00,123.57,125.94,123.32,123.78,1557753.0
2024-05-31 04:00:00,124.19,125.3,120.205,122.59,3525435.0
2024-06-03 04:00:00,124.84,124.84,119.79,120.89,2123759.0
2024-06-04 04:00:00,119.75,120.63,118.04,118.31,2119612.0
2024-06-05 04:00:00,119.06,120.275,117.48,118.65,1645837.0
2024-06-06 04:00:00,117.0,118.52,114.43,118.18,3002649.0
2024-06-07 04:00:00,116.78,117.56,114.23,114.94,2056806.0
2024-06-10 04:00:00,114.0,114.89,112.4214,114.06,1701685.0
2024-06-11 04:00:00,113.54,114.16,112.1392,113.97,1957089.0
2024-06-12 04:00:00,117.0,118.8,111.78,112.65,2723614.0
2024-06-13 04:00:00,111.6,113.2899,107.67,108.23,4262418.0
2024-06-14 04:00:00,107.1,108.59,103.32,103.51,3910603.0
2024-06-17 04:00:00,102.74,104.1633,98.95,100.63,4291355.0
2024-06-18 04:00:00,100.36,102.5,98.7,99.54,3526940.0
2024-06-20 04:00:00,97.7,97.9877,93.73,93.79,5663792.0
2024-06-21 04:00:00,93.0,96.0,92.29,94.66,5567445.0
2024-06-24 04:00:00,93.55,96.53,93.19,96.4,3280617.0
2024-06-25 04:00:00,95.2,96.11,92.61,92.77,3220878.0
2024-06-26 04:00:00,95.52,100.63,95.03,100.28,4847629.0
2024-06-27 04:00:00,98.48,99.1,94.8805,96.27,4049923.0
2024-06-28 04:00:00,96.5,96.6,93.54,95.52,4471392.0
2024-07-01 04:00:00,95.25,97.44,94.82,97.41,2451651.0
2024-07-02 04:00:00,98.81,102.5553,96.0,97.06,4115185.0
2024-07-03 04:00:00,98.1,101.38,97.0,100.09,2309128.0
2024-07-05 04:00:00,98.78,100.34,97.11,98.35,2229817.0
2024-07-08 04:00:00,99.15,101.65,99.11,99.15,2194027.0
2024-07-09 04:00:00,96.85,98.02,90.32,90.47,6427701.0
2024-07-10 04:00:00,91.04,97.3,90.75,96.9,4153877.0
2024-07-11 04:00:00,98.36,100.195,96.9101,97.95,2708662.0
2024-07-12 04:00:00,98.98,99.7,96.8301,97.87,1968423.0
2024-07-15 04:00:00,93.6,96.95,93.12,95.49,2640030.0
2024-07-16 04:00:00,95.36,98.09,94.27,97.71,2586747.0
2024-07-17 04:00:00,97.31,99.255,92.65,95.08,2469028.0
2024-07-18 04:00:00,94.61,98.22,93.45,93.81,2324922.0
2024-07-19 04:00:00,92.74,92.925,90.02,92.09,2235708.0
2024-07-22 04:00:00,93.13,93.99,91.4,93.57,2075715.0
2024-07-23 04:00:00,92.38,93.04,91.06,91.48,1896476.0
2024-07-24 04:00:00,91.0,93.17,90.75,90.88,2100614.0
2024-07-25 04:00:00,90.55,94.72,90.2,91.0,2776553.0
2024-07-26 04:00:00,92.54,93.16,90.6,92.8,1868593.0
2024-07-29 04:00:00,91.41,92.45,90.275,91.67,1915077.0
2024-07-30 04:00:00,91.03,93.16,90.48,92.51,2449371.0
2024-07-31 04:00:00,91.92,95.9499,91.77,93.67,5756957.0
2024-08-01 04:00:00,94.0,99.47,91.88,93.17,4807484.0
2024-08-02 04:00:00,88.79,88.79,82.25,86.99,5807206.0
2024-08-05 04:00:00,80.3,85.44,79.9,83.52,5285403.0
2024-08-06 04:00:00,84.05,84.11,79.46,79.53,3707779.0
2024-08-07 04:00:00,82.235,84.474,79.0,79.06,3367683.0
2024-08-08 04:00:00,80.0,83.31,79.09,81.83,3296771.0
2024-08-09 04:00:00,82.27,82.6086,80.0,81.65,2165826.0
2024-08-12 04:00:00,81.58,81.66,74.82,76.0,4590155.0
2024-08-13 04:00:00,76.9,77.93,75.46,77.22,3969296.0
