date,open,high,low,close,volume
2024-05-09 04:00:00,74.32,74.3647,73.37,73.71,3933052.0
2024-05-10 04:00:00,73.99,74.73,73.63,74.64,3954875.0
2024-05-13 04:00:00,74.97,76.17,74.9,75.75,5643759.0
2024-05-14 04:00:00,76.01,76.68,75.385,76.39,3888352.0
2024-05-15 04:00:00,76.84,77.63,76.72,77.48,5662479.0
2024-05-16 04:00:00,77.4,78.145,77.36,77.56,5431573.0
2024-05-17 04:00:00,78.0,78.56,77.78,78.36,4670413.0
2024-05-20 04:00:00,78.5,78.73,77.52,77.72,3280735.0
2024-05-21 04:00:00,77.81,78.46,77.59,78.11,2852753.0
2024-05-22 04:00:00,77.82,78.04,77.0136,77.24,3073467.0
2024-05-23 04:00:00,77.63,77.63,76.02,76.31,2636922.0
2024-05-24 04:00:00,76.52,77.81,76.44,77.79,2949625.0
2024-05-28 04:00:00,77.79,77.79,74.0,75.13,4816887.0
2024-05-29 04:00:00,74.34,75.06,74.0,74.48,3587968.0
2024-05-30 04:00:00,74.66,74.88,73.77,74.08,3084329.0
2024-05-31 04:00:00,74.36,75.94,74.23,75.88,7366482.0
2024-06-03 04:00:00,75.92,76.38,75.17,76.04,3221431.0
2024-06-04 04:00:00,75.94,76.635,75.67,76.07,4377114.0
2024-06-05 04:00:00,76.12,76.38,75.73,75.96,3381272.0
2024-06-06 04:00:00,75.86,76.54,75.64,76.37,2514251.0
2024-06-07 04:00:00,76.04,77.53,75.83,77.51,4073286.0
2024-06-10 04:00:00,76.87,77.5,76.29,77.29,4146653.0
2024-06-11 04:00:00,77.06,77.09,75.275,75.83,3845555.0
2024-06-12 04:00:00,76.7,77.83,76.7,76.95,4901857.0
2024-06-13 04:00:00,76.8,77.081,75.375,77.07,4510815.0
2024-06-14 04:00:00,76.82,76.97,75.14,76.57,4025448.0
2024-06-17 04:00:00,75.89,76.39,74.75,76.12,3701192.0
2024-06-18 04:00:00,76.26,77.75,75.91,77.05,4624539.0
2024-06-20 04:00:00,76.26,76.73,75.6,76.48,4583754.0
2024-06-21 04:00:00,76.28,77.01,75.47,75.96,15128141.0
2024-06-24 04:00:00,76.04,76.9,75.48,75.55,4001057.0
2024-06-25 04:00:00,75.44,75.95,75.06,75.2,3324975.0
2024-06-26 04:00:00,74.74,75.21,74.33,74.99,2865943.0
2024-06-27 04:00:00,74.82,74.9,73.7881,74.63,3168799.0
2024-06-28 04:00:00,74.88,75.48,74.48,75.36,4926671.0
2024-07-01 04:00:00,75.43,76.21,73.97,74.27,2576488.0
2024-07-02 04:00:00,74.43,75.395,74.135,75.23,1945459.0
2024-07-03 04:00:00,75.59,75.93,74.955,75.81,1287286.0
2024-07-05 04:00:00,75.65,75.755,74.98,75.42,2256111.0
2024-07-08 04:00:00,75.56,75.85,74.66,74.85,2049015.0
2024-07-09 04:00:00,74.85,75.0,73.6,73.72,3135839.0
2024-07-10 04:00:00,73.8,74.12,72.92,73.92,2309012.0
2024-07-11 04:00:00,74.04,75.64,73.61,75.58,2322599.0
2024-07-12 04:00:00,75.97,76.66,75.45,76.42,2391426.0
2024-07-15 04:00:00,76.81,77.3,76.05,76.11,3974273.0
2024-07-16 04:00:00,76.37,77.135,76.37,76.91,2761397.0
2024-07-17 04:00:00,77.02,77.99,76.64,77.26,2141921.0
2024-07-18 04:00:00,76.91,77.29,75.95,76.04,3200864.0
2024-07-19 04:00:00,76.53,76.53,74.855,75.25,2987492.0
2024-07-22 04:00:00,74.77,75.53,74.16,75.32,2717514.0
2024-07-23 04:00:00,75.3,75.57,74.57,75.1,2618738.0
2024-07-24 04:00:00,74.72,75.48,74.24,75.33,2659073.0
2024-07-25 04:00:00,75.41,76.07,74.465,74.51,3014936.0
2024-07-26 04:00:00,75.01,76.5,74.67,75.68,2334467.0
2024-07-29 04:00:00,75.98,76.3,75.3,75.72,1869527.0
2024-07-30 04:00:00,76.3,77.11,76.155,76.74,1993502.0
2024-07-31 04:00:00,76.96,77.41,76.35,76.83,1989067.0
2024-08-01 04:00:00,77.13,77.34,74.61,75.09,2193139.0
2024-08-02 04:00:00,74.46,74.6,73.33,74.36,2291368.0
2024-08-05 04:00:00,72.86,74.13,72.01,72.8,5640494.0
2024-08-06 04:00:00,74.95,77.69,72.675,76.54,5743969.0
2024-08-07 04:00:00,77.77,77.97,76.2,76.45,5885263.0
2024-08-08 04:00:00,76.94,77.61,75.95,76.43,3194042.0
2024-08-09 04:00:00,76.34,77.705,75.47,77.59,2576083.0
2024-08-12 04:00:00,77.52,77.79,75.815,76.13,2815581.0
2024-08-13 04:00:00,76.59,78.37,76.54,78.26,4334914.0
2024-08-14 04:00:00,78.34,78.44,77.68,78.09,3007724.0
2024-08-15 04:00:00,78.51,79.25,78.0,78.48,3125283.0
2024-08-16 04:00:00,78.48,79.07,78.165,79.0,2167762.0
2024-08-19 04:00:00,79.87,80.2,78.94,79.16,1922351.0
2024-08-20 04:00:00,79.41,79.42,78.3618,78.52,1738664.0
2024-08-21 04:00:00,78.68,79.32,78.14,79.21,1890590.0
2024-08-22 04:00:00,79.22,79.45,78.55,78.7,1791274.0
2024-08-23 04:00:00,79.1,79.44,78.495,79.27,2002607.0
2024-08-26 04:00:00,79.67,81.0,79.41,80.38,2116822.0
2024-08-27 04:00:00,80.17,81.9,80.0,81.53,3126788.0
2024-08-28 04:00:00,81.28,81.8,80.84,81.24,1694013.0
