date,open,high,low,close,volume
2024-05-09 04:00:00,212.64,217.51,211.9676,216.84,808997.0
2024-05-10 04:00:00,216.0,217.55,212.95,213.82,635286.0
2024-05-13 04:00:00,215.0,219.4,213.8201,217.89,781052.0
2024-05-14 04:00:00,216.27,219.795,213.82,215.85,724855.0
2024-05-15 04:00:00,218.07,221.795,217.67,220.63,649462.0
2024-05-16 04:00:00,220.14,222.96,218.8,219.97,649042.0
2024-05-17 04:00:00,219.82,220.035,217.53,218.57,450553.0
2024-05-20 04:00:00,218.57,219.93,216.73,218.74,500230.0
2024-05-21 04:00:00,218.26,219.6,216.66,218.28,452579.0
2024-05-22 04:00:00,217.63,219.98,216.28,218.27,555370.0
2024-05-23 04:00:00,218.1,218.1,210.24,211.58,1046666.0
2024-05-24 04:00:00,212.08,214.49,210.75,213.26,536176.0
2024-05-28 04:00:00,212.41,213.53,206.16,207.17,829545.0
2024-05-29 04:00:00,205.16,207.74,205.01,205.96,599076.0
2024-05-30 04:00:00,205.9,210.02,205.655,209.34,602077.0
2024-05-31 04:00:00,209.1,210.94,205.0,206.33,2928056.0
2024-06-03 04:00:00,207.84,210.76,204.41,207.39,1772324.0
2024-06-04 04:00:00,206.95,212.23,206.61,211.18,676392.0
2024-06-05 04:00:00,211.29,214.05,210.12,213.24,507181.0
2024-06-06 04:00:00,211.57,212.49,210.13,211.56,709184.0
2024-06-07 04:00:00,211.07,214.285,209.46,210.91,411980.0
2024-06-10 04:00:00,209.81,211.82,209.31,211.66,723052.0
2024-06-11 04:00:00,209.58,212.755,207.05,210.18,810506.0
2024-06-12 04:00:00,211.88,214.54,210.01,210.89,718090.0
2024-06-13 04:00:00,209.54,213.71,208.89,212.38,906463.0
2024-06-14 04:00:00,210.97,212.0,208.63,211.73,1113732.0
2024-06-17 04:00:00,209.06,211.69,205.379,210.35,1028417.0
2024-06-18 04:00:00,210.82,212.62,210.17,212.27,972918.0
2024-06-20 04:00:00,210.94,214.97,210.01,213.27,1246046.0
2024-06-21 04:00:00,213.36,213.53,200.0,205.83,2734710.0
2024-06-24 04:00:00,189.95,193.73,179.42,182.2,4020884.0
2024-06-25 04:00:00,185.07,186.81,180.34,183.84,2163895.0
2024-06-26 04:00:00,183.84,187.32,183.84,186.53,1115314.0
2024-06-27 04:00:00,189.5,192.735,187.57,191.58,1271051.0
2024-06-28 04:00:00,191.71,194.595,189.57,191.42,3499219.0
2024-07-01 04:00:00,190.91,192.375,186.22,186.94,871688.0
2024-07-02 04:00:00,187.5,189.94,187.5,189.35,808424.0
2024-07-03 04:00:00,189.59,189.99,188.06,189.4,383824.0
2024-07-05 04:00:00,190.5,195.0,189.32,194.74,670912.0
2024-07-08 04:00:00,194.35,194.86,191.9,192.92,805224.0
2024-07-09 04:00:00,193.48,194.56,188.56,190.33,956591.0
