date,open,high,low,close,volume
2024-05-08 04:00:00,96.69,96.9,96.28,96.73,1038983.0
2024-05-09 04:00:00,96.69,97.46,95.88,95.94,1860593.0
2024-05-10 04:00:00,96.37,96.82,95.47,96.5,1521602.0
2024-05-13 04:00:00,96.71,96.71,95.705,95.87,1273820.0
2024-05-14 04:00:00,96.17,97.23,95.235,96.94,1310860.0
2024-05-15 04:00:00,97.75,99.37,97.74,98.9,1425513.0
2024-05-16 04:00:00,98.68,99.2,98.41,98.45,1261172.0
2024-05-17 04:00:00,98.3,98.94,97.42,98.6,1319357.0
2024-05-20 04:00:00,98.74,99.79,97.34,98.62,1278032.0
2024-05-21 04:00:00,98.62,99.75,98.15,99.53,882185.0
2024-05-22 04:00:00,99.54,100.92,99.51,100.76,1207450.0
2024-05-23 04:00:00,100.88,101.05,99.815,99.86,1175442.0
2024-05-24 04:00:00,100.1,102.31,99.795,102.19,1867268.0
2024-05-28 04:00:00,102.01,102.58,100.29,100.67,2062378.0
2024-05-29 04:00:00,99.79,100.96,98.45,98.54,1613538.0
2024-05-30 04:00:00,98.81,99.53,97.99,99.23,1786147.0
2024-05-31 04:00:00,99.46,100.445,98.065,98.58,6836502.0
2024-06-03 04:00:00,100.85,101.21,97.32,98.92,1350132.0
2024-06-04 04:00:00,98.52,100.47,98.42,100.44,1233040.0
2024-06-05 04:00:00,100.57,100.99,99.6106,100.8,761968.0
2024-06-06 04:00:00,100.91,101.71,98.732,99.31,1119679.0
2024-06-07 04:00:00,98.695,100.02,98.31,99.22,1061995.0
2024-06-10 04:00:00,98.88,100.03,98.345,99.85,943819.0
2024-06-11 04:00:00,99.44,100.2,98.27,100.19,798168.0
2024-06-12 04:00:00,101.0,101.46,99.61,101.13,833467.0
2024-06-13 04:00:00,100.74,101.15,99.62,101.01,708945.0
2024-06-14 04:00:00,100.36,100.99,99.51,100.75,918133.0
2024-06-17 04:00:00,100.05,101.4,99.725,100.57,925222.0
2024-06-18 04:00:00,100.6,101.61,100.29,101.22,999340.0
2024-06-20 04:00:00,100.43,101.1,99.56,100.28,1734440.0
2024-06-21 04:00:00,100.0,100.07,98.21,98.87,3261181.0
2024-06-24 04:00:00,99.46,100.73,98.92,99.75,1377479.0
2024-06-25 04:00:00,99.55,100.27,98.59,98.95,1196741.0
2024-06-26 04:00:00,98.42,98.86,98.2,98.38,1441326.0
2024-06-27 04:00:00,98.77,98.845,97.28,97.61,1353623.0
2024-06-28 04:00:00,97.87,98.0488,95.46,95.47,9315626.0
2024-07-01 04:00:00,96.02,96.29,94.92,95.45,1486910.0
2024-07-02 04:00:00,95.1,95.58,93.77,94.35,2085417.0
2024-07-03 04:00:00,94.72,95.88,94.64,95.33,1198586.0
