Price,Close,High,Low,Open,Volume
Ticker,ROP,ROP,ROP,ROP,ROP
Date,,,,,
2015-12-21,174.5338134765625,174.88257485857395,172.86538838781513,173.97767657467966,245300
2015-12-22,176.47561645507812,176.96577815758573,174.33588565320744,175.08055632974225,264800
2015-12-23,179.1714324951172,179.4353623241378,177.27679028326997,177.36162178907725,291200
2015-12-24,178.9452362060547,179.42597693370791,178.28541150281478,178.66245008092335,117600
2015-12-28,179.26573181152344,179.58623044466356,177.47477687720834,177.89894890027236,194100
2015-12-29,181.56570434570312,182.22554347269974,180.2083423679168,180.34032169979668,263400
2015-12-30,179.64279174804688,181.90505221399505,179.4825496168265,181.45260299742566,185200
2015-12-31,178.89813232421875,180.18951915280408,178.62478146742458,179.1620766321919,247700
2016-01-04,175.8063507080078,176.49446700881225,173.68547622008046,175.6838210736582,514300
2016-01-05,176.79611206054688,177.28627379451282,173.93058102688101,175.7026798782775,350200
2016-01-06,173.12347412109375,177.07934366653674,172.755267484027,174.2186580079081,471100
2016-01-07,167.94970703125,171.13139062543925,167.57206434217622,169.78130432616263,444300
2016-01-08,165.80657958984375,169.80022309725032,165.44782328879208,169.21485808979608,489400
2016-01-11,163.77667236328125,167.98744399031338,162.06781564427428,166.64679388807505,724300
2016-01-12,166.22195434570312,166.99614054301958,163.559540402416,165.39112318880632,553100
2016-01-13,161.21810913085938,168.58225637653632,161.0292877976152,167.33602405220938,483600
2016-01-14,161.29359436035156,162.7286620131477,159.36759426292375,161.39744822481984,834100
2016-01-15,159.9624786376953,161.51085153214618,156.77135816669875,158.58406948913884,902100
2016-01-19,160.04739379882812,162.6720489909981,158.96164601976082,162.3699233601172,493100
2016-01-20,158.25355529785156,159.49980191616686,155.5250462205142,157.705963396423,686100
2016-01-21,157.10177612304688,159.4432072831898,155.98771992126154,158.31970064861633,584600
2016-01-22,159.1033172607422,162.60599903469702,158.21584097977126,161.70908672742848,532200
2016-01-25,156.80914306640625,159.25441439667665,156.66753059791623,158.876771543269,525400
2016-01-26,159.82083129882812,159.86804023879174,156.93182280926374,157.62102723306572,425100
2016-01-27,158.85781860351562,162.36051438867088,158.01755136107099,159.81139017949067,302600
2016-01-28,160.23622131347656,161.67128930338754,158.74450836712,160.58554148232022,415400
2016-01-29,165.853759765625,165.98593614964108,159.78306771997393,160.78383382840232,961800
2016-02-01,154.58096313476562,155.72335614832426,148.51970663824403,148.54802912231895,2355500
2016-02-02,150.01141357421875,152.8532131371591,147.08463215648666,152.8532131371591,1083500
2016-02-03,153.05145263671875,153.07977511362597,148.39692871434727,151.82409248154892,666900
2016-02-04,157.63990783691406,158.70676933466518,151.52200688581678,152.98538312733075,723000
2016-02-05,154.0050506591797,156.55418950892968,152.0224047168868,156.55418950892968,836800
2016-02-08,152.8248748779297,153.75955993498258,150.62507102893042,152.711584958097,465300
2016-02-09,152.78712463378906,154.54319051685928,151.23876655240474,151.6258596742871,596600
2016-02-10,151.29534912109375,154.16546984216237,150.98378754705305,152.21114739462988,532700
2016-02-11,151.031005859375,152.10730299748738,148.39690075416564,148.79344416843773,470700
2016-02-12,154.44876098632812,155.41176850273496,148.935097444892,151.69192921561006,396700
2016-02-16,157.94203186035156,158.5085103523184,154.2599648810066,155.8366455827336,602500
2016-02-17,160.22677612304688,160.67049972520041,158.7822577856053,158.7822577856053,550600
2016-02-18,160.97265625,162.7287221671549,159.4431845953038,160.12295297653444,634000
2016-02-19,160.82159423828125,162.52101520012772,159.5092664078281,161.12371992311864,648000
2016-02-22,163.34237670898438,163.97493608000886,161.4824570989844,161.78458274814804,553600
2016-02-23,161.69015502929688,164.69246725881493,160.7838069493185,162.76645237811059,440700
2016-02-24,160.70831298828125,161.32198601029728,159.16939081109354,160.51004119613123,401400
2016-02-25,161.4447021484375,162.57764454544332,159.79249028434532,161.65240993527206,507900
2016-02-26,160.82159423828125,162.4643702357571,160.72719076637873,162.33219385017713,685600
2016-02-29,158.54629516601562,160.9726940082468,157.54552881616812,160.51951978317695,682500
2016-03-01,162.27554321289062,162.91753866150853,159.15994062611327,159.55646976899112,491300
2016-03-02,161.85061645507812,162.74754271020933,160.78376978267625,161.45408746098101,398900
2016-03-03,162.7476043701172,162.83257181401382,161.0953923990053,161.6429843810255,346400
2016-03-04,162.86090087890625,163.23854358225412,160.56669336408376,162.35108178877203,503600
2016-03-07,163.74838256835938,163.78614107750178,162.08672004317015,162.08672004317015,363000
2016-03-08,161.2369842529297,162.80422858037127,160.85934161298528,162.06781534817935,348900
2016-03-09,161.0764617919922,162.87028567791458,160.57607888467254,162.09611405770238,378500
2016-03-10,160.9348602294922,161.92617568208246,159.3581655973903,161.04815013124144,358400
2016-03-11,164.09768676757812,164.30539456293238,161.3502908976924,162.24721747133344,439100
2016-03-14,165.6932830810547,166.6185178930282,163.8333630244622,164.04107085659973,448700
2016-03-15,165.9764862060547,167.04333321395544,164.22985647231755,164.22985647231755,305700
2016-03-16,167.5153350830078,167.6663978580694,165.35330493872806,165.8536877757478,432400
2016-03-17,169.73403930664062,170.59319270747739,167.60033144669677,167.76083025682996,542800
2016-03-18,171.6884307861328,172.3493126864082,169.67744819816022,170.234476199382,754400
2016-03-21,171.1880340576172,171.5090317540612,170.52713780404633,171.02752080325138,331100
2016-03-22,171.8489227294922,172.41538673286337,170.69709386131643,171.08418696094725,362400
