date,open,high,low,close,volume
2026-06-25 04:00:00,2.01,2.01,1.725,1.885,4163802.0
2026-06-26 04:00:00,1.865,2.22,1.835,2.155,1646005.0
2026-06-29 04:00:00,2.16,2.285,2.01,2.035,1524535.0
2026-06-30 04:00:00,2.01,2.055,1.9,1.9,1403463.0
2026-07-01 04:00:00,1.885,1.945,1.81,1.925,2024509.0
2026-07-02 04:00:00,1.925,1.945,1.84,1.89,1804582.0
2026-07-06 04:00:00,1.855,1.87,1.72,1.745,2429294.0
2026-07-07 04:00:00,1.72,1.735,1.65,1.72,1375504.0
2026-07-08 04:00:00,1.65,1.955,1.6,1.91,3100076.0
2026-07-09 04:00:00,1.88,1.97,1.88,1.9,625683.0
2026-07-10 04:00:00,1.92,1.95,1.87,1.885,644283.0
2026-07-13 04:00:00,1.865,1.92,1.825,1.875,961167.0
2026-07-14 04:00:00,1.885,2.03,1.855,1.96,1005226.0
2026-07-15 04:00:00,2.045,2.13,2.0,2.07,1832393.0
2026-07-16 04:00:00,2.06,2.11,1.955,2.05,1472333.0
2026-07-17 04:00:00,2.02,2.045,1.9,1.93,1944211.0
2026-07-20 04:00:00,2.18,2.48,2.1,2.45,6110865.0
2026-07-21 04:00:00,2.45,2.59,2.195,2.22,3289343.0
2026-07-22 04:00:00,2.2,2.41,2.155,2.245,1306074.0
2026-07-23 04:00:00,2.23,2.28,2.12,2.28,1384925.0
2026-07-24 04:00:00,2.285,2.445,2.235,2.265,1122931.0
2026-07-27 04:00:00,2.315,2.515,2.29,2.505,1877534.0
2026-07-28 04:00:00,2.505,2.75,2.47,2.665,2730150.0
2026-07-29 04:00:00,2.645,2.785,2.6,2.75,1441721.0
2026-07-30 04:00:00,2.75,2.775,2.62,2.76,1242960.0
2026-07-31 04:00:00,2.78,2.835,2.67,2.8,1495102.0
2026-08-03 04:00:00,2.985,3.02,2.78,2.85,2204448.0
2026-08-04 04:00:00,2.85,2.85,2.61,2.685,1813522.0
2026-08-05 04:00:00,2.63,2.74,2.6,2.66,1116789.0
2026-08-06 04:00:00,2.64,2.71,2.54,2.57,1037616.0
2026-08-07 04:00:00,2.575,2.61,2.46,2.585,610496.0
2026-08-10 04:00:00,2.56,2.56,2.39,2.415,908725.0
2026-08-11 04:00:00,2.39,2.49,2.385,2.395,459805.0
2026-08-12 04:00:00,2.4,2.58,2.385,2.53,769734.0
2026-08-13 04:00:00,2.53,2.67,2.53,2.62,1198834.0
2026-08-14 04:00:00,2.61,2.61,2.49,2.5,448250.0
2026-08-17 04:00:00,2.45,2.48,2.43,2.445,368414.0
2026-08-18 04:00:00,2.41,2.43,2.325,2.38,903734.0
2026-08-19 04:00:00,2.39,2.58,2.375,2.52,864477.0
2026-08-20 04:00:00,2.485,2.595,2.47,2.475,606530.0
2026-08-21 04:00:00,2.53,2.565,2.495,2.55,444549.0
2026-08-24 04:00:00,2.61,2.755,2.61,2.68,1104735.0
2026-08-25 04:00:00,2.69,2.745,2.615,2.645,603075.0
2026-08-26 04:00:00,2.67,2.755,2.61,2.61,472099.0
2026-08-27 04:00:00,2.625,2.725,2.61,2.705,953849.0
2026-08-28 04:00:00,2.72,2.775,2.565,2.59,748606.0
2026-08-31 04:00:00,2.61,2.7,2.605,2.64,680683.0
2026-09-01 04:00:00,2.6,2.64,2.555,2.575,514431.0
2026-09-02 04:00:00,2.58,2.715,2.58,2.645,721981.0
