date,open,high,low,close,volume
2024-05-08 04:00:00,112.56,113.36,110.44,113.32,1932468.0
2024-05-09 04:00:00,113.04,113.78,111.92,112.19,2587304.0
2024-05-10 04:00:00,112.93,112.93,111.56,112.06,1263229.0
2024-05-13 04:00:00,112.6,112.6,109.64,109.78,1757488.0
2024-05-14 04:00:00,109.69,110.94,109.38,110.87,1505981.0
2024-05-15 04:00:00,111.38,115.48,111.02,115.32,2333570.0
2024-05-16 04:00:00,115.0,115.2,112.68,112.73,1814801.0
2024-05-17 04:00:00,113.28,113.65,112.155,113.08,1782747.0
2024-05-20 04:00:00,113.08,113.92,112.63,112.95,1395788.0
2024-05-21 04:00:00,112.78,114.9,112.17,114.7,1554120.0
2024-05-22 04:00:00,114.415,115.535,113.33,113.84,1161824.0
2024-05-23 04:00:00,115.0,115.0,112.25,112.88,1264849.0
2024-05-24 04:00:00,113.15,115.89,112.93,115.52,1944715.0
2024-05-28 04:00:00,115.75,117.21,115.14,115.6,2507778.0
2024-05-29 04:00:00,114.79,114.79,112.16,113.17,1779718.0
2024-05-30 04:00:00,112.99,116.82,112.92,116.77,2117349.0
2024-05-31 04:00:00,117.23,119.5499,113.22,116.16,5138150.0
2024-06-03 04:00:00,116.94,117.19,114.38,116.55,2801597.0
2024-06-04 04:00:00,115.66,117.02,113.73,113.88,2251166.0
2024-06-05 04:00:00,114.74,116.32,113.81,116.28,2033828.0
2024-06-06 04:00:00,116.28,119.3,112.2038,112.97,2985642.0
2024-06-07 04:00:00,112.82,114.11,111.13,112.36,2854197.0
2024-06-10 04:00:00,112.3,118.93,111.65,118.77,4711805.0
2024-06-11 04:00:00,118.39,118.51,115.7,116.71,2793952.0
2024-06-12 04:00:00,118.85,119.69,118.05,118.38,2831998.0
2024-06-13 04:00:00,118.02,118.78,114.59,116.28,1711589.0
2024-06-14 04:00:00,115.0,116.3,113.6,115.87,2072291.0
2024-06-17 04:00:00,115.96,116.97,114.86,116.29,1303941.0
2024-06-18 04:00:00,116.35,117.64,115.72,117.32,1517965.0
2024-06-20 04:00:00,116.85,118.565,116.85,118.43,2013489.0
2024-06-21 04:00:00,118.1,118.21,116.35,117.78,3778419.0
2024-06-24 04:00:00,117.3,119.55,117.21,118.28,2865720.0
2024-06-25 04:00:00,117.58,119.0,116.58,118.47,2248214.0
2024-06-26 04:00:00,117.95,118.17,116.88,118.06,1735944.0
2024-06-27 04:00:00,117.4,118.53,117.06,118.0,2319139.0
2024-06-28 04:00:00,118.5,119.303,117.84,118.07,14985978.0
2024-07-01 04:00:00,119.07,119.33,116.52,118.74,3010761.0
2024-07-02 04:00:00,118.04,120.18,117.33,120.04,2426423.0
2024-07-03 04:00:00,120.4,120.8,118.985,119.8,1812199.0
2024-07-05 04:00:00,119.59,120.14,117.57,118.74,1596287.0
2024-07-08 04:00:00,118.71,119.01,115.71,115.92,2128458.0
2024-07-09 04:00:00,115.74,117.88,115.42,116.68,1354743.0
2024-07-10 04:00:00,117.24,119.39,117.01,119.21,1259482.0
2024-07-11 04:00:00,119.8,121.23,119.19,121.1,1685512.0
2024-07-12 04:00:00,121.49,122.76,120.44,120.54,1461623.0
2024-07-15 04:00:00,121.25,122.54,120.62,122.5,1905225.0
2024-07-16 04:00:00,123.0,124.01,122.13,124.0,2180858.0
2024-07-17 04:00:00,122.97,123.38,120.15,121.18,2135594.0
2024-07-18 04:00:00,121.46,122.6013,120.26,120.33,1630439.0
2024-07-19 04:00:00,121.11,121.95,119.83,120.51,1746841.0
2024-07-22 04:00:00,121.22,124.295,121.07,123.99,1936902.0
2024-07-23 04:00:00,123.76,125.31,123.27,124.84,2088185.0
2024-07-24 04:00:00,123.75,125.06,121.3,121.72,1886974.0
2024-07-25 04:00:00,122.06,124.33,119.46,121.66,2516117.0
2024-07-26 04:00:00,123.69,123.7399,121.085,122.16,2097681.0
2024-07-29 04:00:00,123.05,123.34,121.44,122.06,1657730.0
2024-07-30 04:00:00,122.89,124.38,121.61,122.64,2201067.0
2024-07-31 04:00:00,125.06,126.45,123.78,125.31,3662833.0
2024-08-01 04:00:00,120.0,122.91,115.21,115.97,8726241.0
2024-08-02 04:00:00,110.11,111.85,102.83,103.53,8835168.0
2024-08-05 04:00:00,97.46,101.71,95.11,99.16,6621851.0
2024-08-06 04:00:00,101.75,106.16,101.45,103.46,6501283.0
2024-08-07 04:00:00,106.04,107.54,102.59,103.12,3875789.0
2024-08-08 04:00:00,104.75,105.62,102.14,103.19,5464452.0
2024-08-09 04:00:00,103.46,104.91,103.05,104.7,2779728.0
2024-08-12 04:00:00,104.2,104.48,102.42,103.03,2653153.0
2024-08-13 04:00:00,103.82,105.3487,103.77,104.61,1831418.0
2024-08-14 04:00:00,105.03,106.68,104.61,105.98,1674778.0
2024-08-15 04:00:00,108.63,111.39,108.41,110.83,3826882.0
2024-08-16 04:00:00,110.18,111.49,109.29,111.0,1950123.0
2024-08-19 04:00:00,111.05,112.01,110.82,111.61,1558575.0
2024-08-20 04:00:00,111.26,111.965,108.95,109.85,1593026.0
2024-08-21 04:00:00,109.94,109.985,108.29,109.28,1667442.0
2024-08-22 04:00:00,109.26,109.9899,108.06,108.47,1773826.0
2024-08-23 04:00:00,109.23,111.72,108.67,111.51,1874533.0
2024-08-26 04:00:00,111.97,112.795,111.44,111.89,1315946.0
2024-08-27 04:00:00,112.56,114.175,112.045,113.58,2083376.0
2024-08-28 04:00:00,113.51,114.65,112.91,113.39,1853947.0
2024-08-29 04:00:00,113.87,114.7092,112.89,113.26,2741999.0
2024-08-30 04:00:00,113.92,116.22,112.66,115.73,2645143.0
2024-09-03 04:00:00,114.26,114.745,110.71,111.32,3076387.0
2024-09-04 04:00:00,110.98,111.61,108.01,109.53,2779251.0
2024-09-05 04:00:00,109.96,110.09,107.615,108.85,2490458.0
2024-09-06 04:00:00,109.18,111.215,106.465,108.0,4233167.0
2024-09-09 04:00:00,106.21,108.94,105.74,107.59,4438761.0
2024-09-10 04:00:00,107.91,108.345,103.17,106.74,3774943.0
2024-09-11 04:00:00,108.92,108.99,104.37,108.67,2878807.0
2024-09-12 04:00:00,109.68,112.46,108.5145,112.37,2505692.0
2024-09-13 04:00:00,113.0,115.67,112.73,114.39,2916990.0
2024-09-16 04:00:00,114.77,117.36,113.83,117.16,2341206.0
2024-09-17 04:00:00,117.67,118.41,116.19,117.79,2213671.0
2024-09-18 04:00:00,118.54,119.43,117.4,117.55,2505670.0
2024-09-19 04:00:00,120.5,122.33,119.35,121.62,2236928.0
2024-09-20 04:00:00,121.57,125.285,121.115,124.48,4562658.0
2024-09-23 04:00:00,125.27,126.93,124.1975,125.23,3157696.0
2024-09-24 04:00:00,124.88,126.07,124.29,125.13,3173306.0
2024-09-25 04:00:00,126.26,126.425,123.9118,124.53,2377197.0
2024-09-26 04:00:00,125.5,125.78,124.485,125.5,2409455.0
2024-09-27 04:00:00,126.02,126.31,124.9,125.81,2293260.0
2024-09-30 04:00:00,125.0,125.53,123.28,124.91,3685365.0
2024-10-01 04:00:00,126.04,133.05,124.46,132.01,5703873.0
2024-10-02 04:00:00,132.61,135.29,131.55,132.7,6003861.0
2024-10-03 04:00:00,133.0,133.46,128.51,131.36,3591728.0
2024-10-04 04:00:00,134.11,136.26,133.66,135.33,3847455.0
2024-10-07 04:00:00,134.97,135.42,133.61,134.22,2276589.0
2024-10-08 04:00:00,134.66,136.22,134.4,136.1,2851672.0
2024-10-09 04:00:00,135.85,138.07,135.0,138.02,2777731.0
2024-10-10 04:00:00,138.04,140.355,137.47,137.92,4116370.0
2024-10-11 04:00:00,138.19,140.3,138.02,140.21,2716659.0
2024-10-14 04:00:00,141.07,141.63,139.63,141.37,2113282.0
2024-10-15 04:00:00,141.5,142.58,140.29,141.55,2520520.0
2024-10-16 04:00:00,142.62,143.045,141.5,142.85,2360317.0
2024-10-17 04:00:00,146.27,146.825,143.58,145.19,2548047.0
2024-10-18 04:00:00,145.06,145.8791,143.82,145.01,2119715.0
2024-10-21 04:00:00,145.87,145.87,143.93,144.76,2143093.0
2024-10-22 04:00:00,143.3,144.44,142.86,143.94,1926813.0
2024-10-23 04:00:00,143.67,144.98,141.9,143.54,1652762.0
2024-10-24 04:00:00,144.62,146.7,143.54,146.29,3174376.0
2024-10-25 04:00:00,144.7,144.93,141.92,143.09,2354897.0
2024-10-28 04:00:00,144.04,145.2,143.29,144.84,1941745.0
2024-10-29 04:00:00,144.61,146.19,143.59,146.02,2368886.0
2024-10-30 04:00:00,145.7,147.04,145.51,145.86,2456134.0
2024-10-31 04:00:00,145.24,146.22,143.1,143.26,2845157.0
2024-11-01 04:00:00,144.19,144.43,140.68,141.0,3130560.0
2024-11-04 05:00:00,141.12,142.11,139.05,139.43,3728527.0
2024-11-05 05:00:00,147.0,151.84,145.5339,149.27,4864751.0
2024-11-06 05:00:00,160.26,166.72,160.26,163.67,8677001.0
2024-11-07 05:00:00,161.2,162.24,159.31,159.82,3563804.0
2024-11-08 05:00:00,158.28,162.15,158.1966,162.0,3093000.0
2024-11-11 05:00:00,164.07,168.67,163.3,166.75,4693295.0
2024-11-12 05:00:00,165.07,166.44,162.47,163.75,2810188.0
2024-11-13 05:00:00,163.75,165.91,163.38,164.34,2591546.0
2024-11-14 05:00:00,165.36,166.66,163.41,164.31,3357656.0
2024-11-15 05:00:00,162.97,163.85,161.15,163.63,2519381.0
2024-11-18 05:00:00,163.73,165.11,161.34,164.31,2977036.0
2024-11-19 05:00:00,164.5,169.145,163.95,168.25,4707125.0
2024-11-20 05:00:00,167.49,168.09,160.89,162.89,5836957.0
2024-11-21 05:00:00,164.51,165.95,162.31,165.02,5784447.0
2024-11-22 05:00:00,167.03,169.58,166.85,167.56,3970563.0
2024-11-25 05:00:00,172.35,176.75,172.02,174.7,6092297.0
2024-11-26 05:00:00,173.02,175.909,171.83,175.64,2733710.0
2024-11-27 05:00:00,175.0,176.57,173.75,173.85,1899672.0
2024-11-29 05:00:00,175.95,176.4,174.23,175.03,1429231.0
2024-12-02 05:00:00,176.06,176.11,171.9,172.34,2935892.0
2024-12-03 05:00:00,173.75,174.23,172.2404,173.0,4156845.0
2024-12-04 05:00:00,173.0,175.71,172.0,174.73,4785829.0
2024-12-05 05:00:00,174.61,178.75,174.07,175.73,3823281.0
2024-12-06 05:00:00,176.77,178.11,174.17,177.85,3969624.0
2024-12-09 05:00:00,189.3,189.49,171.66,172.47,19351417.0
2024-12-10 05:00:00,173.17,176.68,172.74,174.71,7561828.0
2024-12-11 05:00:00,175.41,179.48,172.11,178.61,6023299.0
2024-12-12 05:00:00,178.53,179.37,175.27,176.41,3547629.0
2024-12-13 05:00:00,176.41,177.52,174.88,176.43,3166777.0
2024-12-16 05:00:00,176.24,179.42,175.885,178.15,5959004.0
2024-12-17 05:00:00,176.5,177.73,172.9001,176.32,7018797.0
2024-12-18 05:00:00,176.62,178.11,166.45,167.44,7927883.0
2024-12-19 05:00:00,170.05,173.56,169.37,169.63,7909089.0
2024-12-20 05:00:00,167.5,174.85,167.39,171.03,91314342.0
2024-12-23 05:00:00,170.64,172.78,168.28,171.63,4447740.0
2024-12-24 05:00:00,172.51,174.85,171.7955,174.85,1023857.0
2024-12-26 05:00:00,173.63,175.08,172.51,174.37,1348439.0
2024-12-27 05:00:00,172.68,173.41,169.7,170.28,2859065.0
2024-12-30 05:00:00,167.95,168.87,165.18,166.51,2597815.0
2024-12-31 05:00:00,167.0,167.5999,164.93,165.16,2817031.0
2025-01-02 05:00:00,166.99,166.99,163.05,165.86,3079965.0
2025-01-03 05:00:00,166.13,169.43,165.17,169.06,2491571.0
2025-01-06 05:00:00,170.8,172.11,169.03,169.1,3233794.0
2025-01-07 05:00:00,170.0,170.15,161.23,162.45,4062820.0
2025-01-08 05:00:00,162.61,163.13,159.44,161.98,3283749.0
2025-01-10 05:00:00,160.0,160.0,154.58,155.39,4502793.0
2025-01-13 05:00:00,153.69,155.0,152.73,154.8,3441837.0
2025-01-14 05:00:00,156.65,159.9157,155.61,159.33,3512273.0
2025-01-15 05:00:00,166.0,167.88,163.67,164.85,3852721.0
2025-01-16 05:00:00,165.54,166.4676,164.4,165.92,4209098.0
2025-01-17 05:00:00,167.27,169.02,166.01,166.99,3580392.0
2025-01-21 05:00:00,168.96,171.93,168.3765,169.24,4107928.0
2025-01-22 05:00:00,170.0,171.32,167.7,168.9,3202041.0
2025-01-23 05:00:00,168.2,173.49,168.19,169.75,3264956.0
2025-01-24 05:00:00,169.51,172.26,169.256,172.06,2410637.0
2025-01-27 05:00:00,167.94,169.25,163.9,167.26,3299388.0
2025-01-28 05:00:00,168.26,170.7,165.44,169.31,3672339.0
2025-01-29 05:00:00,169.46,172.19,168.6,171.1,2735545.0
2025-01-30 05:00:00,172.8,173.39,168.88,171.76,2644714.0
2025-01-31 05:00:00,172.68,174.91,170.615,170.98,2452071.0
2025-02-03 05:00:00,166.28,169.495,165.23,167.12,3252345.0
2025-02-04 05:00:00,164.02,169.33,161.06,162.59,5511447.0
2025-02-05 05:00:00,161.17,166.17,160.38,165.75,2844819.0
2025-02-06 05:00:00,168.11,168.2492,163.21,164.88,2181301.0
2025-02-07 05:00:00,165.56,167.15,163.11,163.45,2475281.0
2025-02-10 05:00:00,164.49,164.76,160.79,162.17,2163266.0
2025-02-11 05:00:00,160.5,160.545,156.88,158.08,3786954.0
2025-02-12 05:00:00,155.1,157.98,152.8,157.44,4266280.0
2025-02-13 05:00:00,158.2,159.8859,156.9,157.92,2442215.0
2025-02-14 05:00:00,158.27,163.15,157.59,162.81,2665839.0
2025-02-18 05:00:00,163.51,164.22,160.685,162.06,2503314.0
2025-02-19 05:00:00,160.5,161.17,159.12,160.27,3033262.0
2025-02-20 05:00:00,159.96,160.2,154.33,156.79,3566995.0
2025-02-21 05:00:00,157.1,157.445,148.6,150.55,3731602.0
2025-02-24 05:00:00,151.91,152.66,146.44,147.87,4379324.0
2025-02-25 05:00:00,148.0,148.9,141.2,145.3,5772813.0
2025-02-26 05:00:00,146.49,150.91,146.1525,147.65,2782046.0
2025-02-27 05:00:00,149.49,151.7377,147.13,147.44,3539199.0
2025-02-28 05:00:00,146.33,149.34,145.01,149.27,4825946.0
2025-03-03 05:00:00,150.89,151.8,143.51,144.58,3410190.0
2025-03-04 05:00:00,140.92,141.77,134.19,137.92,5490201.0
2025-03-05 05:00:00,138.18,141.47,135.69,140.53,4254217.0
2025-03-06 05:00:00,135.0,137.98,132.84,134.78,4511774.0
2025-03-07 05:00:00,134.48,135.3,127.56,132.4,5946823.0
2025-03-10 04:00:00,128.11,128.11,123.39,126.01,5794179.0
2025-03-11 04:00:00,126.68,131.83,125.955,130.42,6451199.0
2025-03-12 04:00:00,133.82,137.15,132.435,134.92,6258438.0
2025-03-13 04:00:00,135.04,136.09,128.61,130.24,4018369.0
2025-03-14 04:00:00,133.28,134.65,130.62,134.32,2876641.0
2025-03-17 04:00:00,134.0,140.19,133.69,138.7,4333254.0
2025-03-18 04:00:00,138.81,139.45,136.0,137.44,2268998.0
2025-03-19 04:00:00,137.98,145.36,136.25,143.4,4758346.0
2025-03-20 04:00:00,141.26,146.15,140.94,144.77,3610763.0
2025-03-21 04:00:00,143.33,144.85,141.23,143.41,4012399.0
2025-03-24 04:00:00,146.98,150.25,146.38,148.4,3156353.0
2025-03-25 04:00:00,148.73,150.3099,147.1427,147.9,2429950.0
2025-03-26 04:00:00,148.83,149.97,143.95,144.64,2590188.0
2025-03-27 04:00:00,143.32,144.2,140.01,142.03,2226597.0
2025-03-28 04:00:00,141.25,142.28,135.6,136.96,3124013.0
2025-03-31 04:00:00,134.82,137.865,130.765,136.94,3977549.0
2025-04-01 04:00:00,136.61,138.569,133.96,138.37,2934406.0
2025-04-02 04:00:00,135.17,142.78,135.17,141.52,2418316.0
2025-04-03 04:00:00,128.53,128.9,122.14,123.45,11819568.0
2025-04-04 04:00:00,116.43,117.175,105.61,108.68,13261743.0
2025-04-07 04:00:00,103.31,119.49,102.58,112.36,11194479.0
2025-04-08 04:00:00,119.44,121.29,108.02,110.41,7458922.0
2025-04-09 04:00:00,111.1,130.95,108.1,128.45,10414934.0
2025-04-10 04:00:00,125.0,125.82,117.35,123.93,10692983.0
2025-04-11 04:00:00,122.53,126.26,118.43,125.92,6257438.0
2025-04-14 04:00:00,128.0,128.92,123.79,125.52,4010248.0
2025-04-15 04:00:00,125.62,129.7908,125.62,127.84,3114082.0
2025-04-16 04:00:00,125.8,127.64,123.3,125.21,2264413.0
2025-04-17 04:00:00,126.28,127.89,125.02,126.78,2638671.0
2025-04-21 04:00:00,124.63,125.12,118.28,119.63,4492382.0
2025-04-22 04:00:00,122.15,124.32,121.2845,123.71,3325249.0
2025-04-23 04:00:00,130.0,133.31,126.19,126.55,3812573.0
2025-04-24 04:00:00,127.1,133.85,126.74,133.32,2774988.0
2025-04-25 04:00:00,132.16,135.0,131.5,133.4,2588335.0
2025-04-28 04:00:00,134.42,137.3305,134.06,136.36,2925032.0
2025-04-29 04:00:00,136.06,138.17,134.59,137.55,2754577.0
2025-04-30 04:00:00,133.16,136.99,131.495,136.48,4536872.0
2025-05-01 04:00:00,137.64,140.12,137.13,137.89,3564142.0
2025-05-02 04:00:00,134.15,137.48,133.0,135.37,4382119.0
2025-05-05 04:00:00,133.5,137.295,132.77,133.98,4321574.0
2025-05-06 04:00:00,131.89,133.33,129.19,129.31,3888845.0
2025-05-07 04:00:00,129.57,130.65,127.88,129.34,4039593.0
2025-05-08 04:00:00,131.19,135.75,130.46,133.19,4448413.0
2025-05-09 04:00:00,134.11,134.5572,131.52,132.46,2734974.0
2025-05-12 04:00:00,140.77,143.61,140.445,143.45,6407616.0
2025-05-13 04:00:00,143.74,146.85,143.0,145.07,3913180.0
2025-05-14 04:00:00,146.2,147.44,143.6,144.24,3243959.0
2025-05-15 04:00:00,142.54,144.6,141.92,143.99,2942174.0
2025-05-16 04:00:00,143.72,144.38,142.69,143.84,2404375.0
2025-05-19 04:00:00,140.54,143.0599,140.07,142.61,1775079.0
2025-05-20 04:00:00,141.51,142.17,138.51,139.29,3076331.0
2025-05-21 04:00:00,136.88,137.33,130.64,130.68,5103715.0
2025-05-22 04:00:00,130.46,131.76,129.455,130.81,2976781.0
2025-05-23 04:00:00,127.45,132.07,126.79,130.87,2341154.0
