date,open,high,low,close,volume
2024-05-09 04:00:00,235.96,239.38,235.56,239.14,3166350.0
2024-05-10 04:00:00,240.5,243.54,240.31,242.3,2590895.0
2024-05-13 04:00:00,242.95,243.54,238.1,238.65,2768890.0
2024-05-14 04:00:00,238.15,242.09,238.1,241.53,2387310.0
2024-05-15 04:00:00,241.63,242.87,240.25,241.7,2013389.0
2024-05-16 04:00:00,241.72,243.348,240.85,241.32,2606056.0
2024-05-17 04:00:00,242.8,243.19,241.9,242.82,1848915.0
2024-05-20 04:00:00,243.11,244.4138,242.1,242.3,1983370.0
2024-05-21 04:00:00,242.34,243.575,241.34,243.08,1825937.0
2024-05-22 04:00:00,242.91,243.465,239.525,240.09,2292745.0
2024-05-23 04:00:00,240.83,240.83,235.12,235.46,3272593.0
2024-05-24 04:00:00,236.86,240.07,236.69,238.18,1624528.0
2024-05-28 04:00:00,237.75,238.47,235.88,237.25,2315401.0
2024-05-29 04:00:00,235.45,237.66,234.665,235.94,2711330.0
2024-05-30 04:00:00,236.37,237.32,234.975,237.22,2386412.0
2024-05-31 04:00:00,238.0,240.19,235.91,240.0,5102491.0
2024-06-03 04:00:00,240.18,241.36,233.5309,236.88,2677196.0
2024-06-04 04:00:00,236.39,240.0,235.73,237.25,2512117.0
2024-06-05 04:00:00,236.25,237.7,233.7,234.69,2925098.0
2024-06-06 04:00:00,234.79,236.4,232.7,233.35,2709843.0
2024-06-07 04:00:00,232.41,234.1205,231.71,232.67,2212477.0
2024-06-10 04:00:00,231.95,233.9225,230.6,232.44,2933675.0
2024-06-11 04:00:00,231.64,231.64,224.21,224.53,3168074.0
2024-06-12 04:00:00,227.43,228.4,222.83,224.04,3091113.0
2024-06-13 04:00:00,223.41,223.75,220.742,222.19,3011267.0
2024-06-14 04:00:00,221.38,225.64,221.34,224.82,2373907.0
2024-06-17 04:00:00,224.2,228.465,224.02,228.27,2426689.0
2024-06-18 04:00:00,227.58,229.31,226.7701,229.31,2176467.0
2024-06-20 04:00:00,228.56,231.68,226.44,230.21,2968253.0
2024-06-21 04:00:00,231.11,231.11,227.5,230.38,5064401.0
2024-06-24 04:00:00,231.68,233.9,230.2069,231.47,2152725.0
2024-06-25 04:00:00,230.86,231.3,228.535,230.59,3479902.0
2024-06-26 04:00:00,230.04,232.49,229.14,230.68,3151882.0
2024-06-27 04:00:00,229.79,230.33,227.37,228.4,2264343.0
2024-06-28 04:00:00,229.25,233.6,228.74,231.55,3895988.0
2024-07-01 04:00:00,232.33,234.8,231.55,233.81,2792825.0
2024-07-02 04:00:00,233.55,236.19,232.97,235.97,1871656.0
2024-07-03 04:00:00,236.5,237.58,235.19,235.71,1365850.0
2024-07-05 04:00:00,235.71,236.7,233.56,235.63,2488328.0
2024-07-08 04:00:00,236.23,239.5,233.76,234.51,2638572.0
2024-07-09 04:00:00,234.97,239.2,234.12,237.75,1943710.0
2024-07-10 04:00:00,236.57,239.45,235.6221,238.93,2202968.0
2024-07-11 04:00:00,238.87,239.95,236.96,238.75,1868831.0
2024-07-12 04:00:00,238.97,240.2599,237.23,238.63,2612283.0
2024-07-15 04:00:00,240.45,244.66,240.45,244.0,3054379.0
2024-07-16 04:00:00,244.14,249.76,243.8,249.63,3074640.0
2024-07-17 04:00:00,248.81,250.84,247.38,249.96,2471910.0
2024-07-18 04:00:00,250.8,253.73,247.755,249.2,4053298.0
2024-07-19 04:00:00,241.8,243.38,237.65,242.38,5750391.0
2024-07-22 04:00:00,243.01,245.61,239.9,244.75,2589997.0
2024-07-23 04:00:00,246.96,248.99,245.04,246.9,2564233.0
2024-07-24 04:00:00,245.0,245.62,240.67,240.99,2838067.0
2024-07-25 04:00:00,240.0,244.96,239.39,240.18,3828806.0
2024-07-26 04:00:00,241.93,246.39,241.88,245.89,2174459.0
2024-07-29 04:00:00,246.63,247.96,244.3101,247.89,2059335.0
2024-07-30 04:00:00,249.46,253.68,249.23,252.48,2498841.0
2024-07-31 04:00:00,253.11,256.24,252.43,253.04,2180687.0
2024-08-01 04:00:00,253.85,255.0,246.4101,248.68,3929730.0
2024-08-02 04:00:00,244.51,244.65,230.05,232.28,6902632.0
2024-08-05 04:00:00,226.64,230.775,222.03,225.92,4890744.0
2024-08-06 04:00:00,226.96,233.18,226.5,231.12,3148178.0
2024-08-07 04:00:00,234.02,236.17,228.5102,228.8,2665313.0
2024-08-08 04:00:00,231.05,234.5,231.01,233.54,2239218.0
2024-08-09 04:00:00,233.52,238.34,233.09,237.85,1956562.0
2024-08-12 04:00:00,238.2,238.99,235.395,237.05,1746952.0
2024-08-13 04:00:00,238.71,239.27,236.4701,238.99,1913334.0
2024-08-14 04:00:00,239.81,244.09,239.51,243.76,2132461.0
2024-08-15 04:00:00,247.77,250.36,245.35,249.5,2656834.0
2024-08-16 04:00:00,249.39,251.75,249.13,251.71,2149718.0
2024-08-19 04:00:00,252.0,254.11,251.84,254.05,1653379.0
2024-08-20 04:00:00,254.22,254.62,252.26,253.08,1659736.0
2024-08-21 04:00:00,249.64,249.82,243.35,246.3,3502452.0
2024-08-22 04:00:00,246.77,248.92,245.755,247.76,1981273.0
2024-08-23 04:00:00,248.0,252.17,248.0,251.3,1868199.0
2024-08-26 04:00:00,252.42,256.16,251.95,253.88,1931103.0
2024-08-27 04:00:00,253.7,256.68,253.7,255.03,2518173.0
2024-08-28 04:00:00,254.21,258.63,253.75,257.09,2557059.0
2024-08-29 04:00:00,258.0,261.565,256.825,259.84,2423526.0
2024-08-30 04:00:00,260.49,261.75,256.1,258.65,3442125.0
2024-09-03 04:00:00,255.77,257.48,252.79,254.31,2970272.0
2024-09-04 04:00:00,254.99,256.58,250.66,251.74,3062610.0
2024-09-05 04:00:00,252.71,253.17,248.37,251.84,2711284.0
2024-09-06 04:00:00,251.29,253.565,243.32,244.06,3652963.0
2024-09-09 04:00:00,248.25,253.15,247.53,250.92,3080770.0
2024-09-10 04:00:00,251.72,252.5,240.59,245.42,3630857.0
2024-09-11 04:00:00,244.4,254.625,243.5018,254.18,3149868.0
2024-09-12 04:00:00,254.16,257.0,252.59,255.15,2279719.0
2024-09-13 04:00:00,256.23,260.21,255.75,259.0,2199187.0
2024-09-16 04:00:00,261.31,262.85,259.15,261.09,2170169.0
2024-09-17 04:00:00,261.52,267.2184,261.345,265.4,2765723.0
2024-09-18 04:00:00,264.4,266.35,261.0,262.18,2577368.0
2024-09-19 04:00:00,267.83,270.1,266.35,268.75,2973435.0
2024-09-20 04:00:00,268.4,271.49,266.95,268.99,5847242.0
2024-09-23 04:00:00,271.36,272.41,267.0517,267.3,2534914.0
2024-09-24 04:00:00,267.77,268.5,263.03,266.21,2340349.0
2024-09-25 04:00:00,267.09,268.72,265.55,266.17,2116345.0
2024-09-26 04:00:00,268.29,268.99,266.34,268.15,1430575.0
2024-09-27 04:00:00,268.0,272.68,267.42,271.06,2231903.0
2024-09-30 04:00:00,270.1,271.48,267.29,271.2,2113106.0
2024-10-01 04:00:00,271.28,271.83,266.5167,268.6,2429482.0
2024-10-02 04:00:00,268.6,271.39,266.25,270.92,2009621.0
2024-10-03 04:00:00,269.64,271.1,267.638,268.59,1614588.0
2024-10-04 04:00:00,272.25,276.79,270.0,275.97,2240183.0
2024-10-07 04:00:00,274.35,276.31,271.55,273.79,3287461.0
2024-10-08 04:00:00,271.25,272.5,266.16,269.11,3332787.0
