date,open,high,low,close,volume
2026-06-25 04:00:00,83.36,85.0,82.98,83.26,103922.0
2026-06-26 04:00:00,81.225,85.68,81.225,83.55,84625.0
2026-06-29 04:00:00,84.56,84.56,80.99,81.86,129563.0
2026-06-30 04:00:00,82.37,82.705,78.175,78.48,105938.0
2026-07-01 04:00:00,78.735,79.88,76.42,79.78,76712.0
2026-07-02 04:00:00,79.75,79.75,75.77,76.845,131347.0
2026-07-06 04:00:00,76.48,76.485,71.61,71.78,226696.0
2026-07-07 04:00:00,71.79,72.51,68.84,69.77,127322.0
2026-07-08 04:00:00,67.945,68.09,66.29,67.585,228953.0
2026-07-09 04:00:00,67.275,69.4,66.795,68.185,80437.0
2026-07-10 04:00:00,68.605,72.35,68.17,72.2,159919.0
2026-07-13 04:00:00,72.82,73.15,71.0,72.585,210494.0
2026-07-14 04:00:00,72.7,73.135,69.69,69.98,141373.0
2026-07-15 04:00:00,72.3,74.33,69.585,69.66,196693.0
2026-07-16 04:00:00,68.695,69.07,65.975,68.09,211901.0
2026-07-17 04:00:00,68.505,71.27,68.38,68.8,131657.0
2026-07-20 04:00:00,68.42,68.42,63.38,63.51,242649.0
2026-07-21 04:00:00,62.125,64.73,61.95,63.59,174673.0
2026-07-22 04:00:00,63.68,65.0,61.5,62.33,222737.0
2026-07-23 04:00:00,60.99,63.27,60.99,63.24,155351.0
2026-07-24 04:00:00,63.24,64.855,61.44,62.02,174755.0
2026-07-27 04:00:00,63.46,64.905,61.82,64.52,324032.0
2026-07-28 04:00:00,63.41,65.325,63.18,65.015,120578.0
2026-07-29 04:00:00,64.865,67.15,64.635,65.39,149391.0
2026-07-30 04:00:00,67.645,68.665,65.325,66.46,129018.0
2026-07-31 04:00:00,65.815,66.44,65.125,65.25,128360.0
2026-08-03 04:00:00,65.78,67.215,64.15,64.45,167826.0
2026-08-04 04:00:00,64.66,65.98,63.15,63.39,150185.0
2026-08-05 04:00:00,63.985,67.25,63.51,66.18,155169.0
2026-08-06 04:00:00,63.67,64.375,62.19,62.19,188189.0
2026-08-07 04:00:00,62.09,64.29,61.595,62.42,136848.0
2026-08-10 04:00:00,62.1,62.62,60.235,61.61,231820.0
2026-08-11 04:00:00,61.29,62.455,60.18,60.85,243474.0
2026-08-12 04:00:00,67.55,71.575,67.235,69.515,472194.0
2026-08-13 04:00:00,70.74,73.325,70.08,72.235,307414.0
2026-08-14 04:00:00,73.95,75.57,73.95,74.44,176506.0
2026-08-17 04:00:00,73.17,73.19,69.795,71.0,89435.0
2026-08-18 04:00:00,69.145,70.6,68.04,68.18,46372.0
2026-08-19 04:00:00,69.65,73.44,69.65,71.565,80379.0
2026-08-20 04:00:00,70.87,72.89,70.87,72.01,78164.0
2026-08-21 04:00:00,72.28,74.085,71.845,73.625,117226.0
2026-08-24 04:00:00,74.24,74.35,71.75,72.03,149977.0
2026-08-25 04:00:00,72.08,72.08,69.225,69.26,86656.0
2026-08-26 04:00:00,68.75,68.75,67.25,67.77,86813.0
2026-08-27 04:00:00,67.22,67.72,66.44,66.855,51858.0
2026-08-28 04:00:00,67.38,67.5,66.37,66.955,60871.0
2026-08-31 04:00:00,66.53,68.015,65.445,65.755,79716.0
2026-09-01 04:00:00,64.88,64.94,61.035,61.08,150021.0
2026-09-02 04:00:00,61.36,62.4,60.87,61.8,140371.0
