date,open,high,low,close,volume
2026-06-25 04:00:00,86.075,86.795,85.87,86.63,106870.0
2026-06-26 04:00:00,87.06,87.49,86.775,87.22,130698.0
2026-06-29 04:00:00,87.3,87.3,86.55,87.015,99332.0
2026-06-30 04:00:00,86.65,87.56,85.89,86.4,113711.0
2026-07-01 04:00:00,86.025,86.46,85.8,86.17,134307.0
2026-07-02 04:00:00,86.835,88.125,86.49,88.12,57844.0
2026-07-06 04:00:00,87.88,87.895,85.77,86.24,74741.0
2026-07-07 04:00:00,86.82,88.57,86.82,87.115,79215.0
2026-07-08 04:00:00,87.04,87.28,85.67,85.92,123671.0
2026-07-09 04:00:00,86.035,86.28,85.04,85.3,125344.0
2026-07-10 04:00:00,85.78,86.1,85.33,85.7,109270.0
2026-07-13 04:00:00,86.65,87.07,86.35,86.435,98469.0
2026-07-14 04:00:00,87.37,87.425,86.08,86.43,84253.0
2026-07-15 04:00:00,86.265,86.53,85.1,85.4,49969.0
2026-07-16 04:00:00,85.57,86.62,85.57,86.555,84499.0
2026-07-17 04:00:00,87.395,87.95,85.38,85.58,86975.0
2026-07-20 04:00:00,86.51,86.51,84.96,85.155,129906.0
2026-07-21 04:00:00,85.18,85.18,84.47,84.88,159165.0
2026-07-22 04:00:00,85.64,86.65,85.235,86.55,83125.0
2026-07-23 04:00:00,85.97,86.97,85.9,86.7,175385.0
2026-07-24 04:00:00,87.245,87.605,86.835,87.17,67683.0
2026-07-27 04:00:00,87.03,87.29,85.7,85.85,82097.0
2026-07-28 04:00:00,86.72,87.35,85.66,85.66,81251.0
2026-07-29 04:00:00,85.655,85.74,83.46,84.02,96466.0
2026-07-30 04:00:00,84.31,84.31,82.64,83.215,142716.0
2026-07-31 04:00:00,83.2,83.56,82.56,83.035,115567.0
2026-08-03 04:00:00,82.915,84.06,82.455,83.25,74068.0
2026-08-04 04:00:00,82.895,83.94,82.215,83.9,114040.0
2026-08-05 04:00:00,83.445,83.445,82.37,83.07,92384.0
2026-08-06 04:00:00,83.94,84.18,82.5,83.0,69026.0
2026-08-07 04:00:00,82.795,83.925,82.44,83.385,90338.0
2026-08-10 04:00:00,83.15,83.245,82.01,82.035,114318.0
2026-08-11 04:00:00,82.275,82.82,81.45,82.0,95294.0
2026-08-12 04:00:00,82.39,83.32,82.39,83.305,109505.0
2026-08-13 04:00:00,83.645,83.82,83.26,83.49,110515.0
2026-08-14 04:00:00,83.76,84.17,83.61,84.07,66917.0
2026-08-17 04:00:00,83.79,84.0,83.53,83.99,65096.0
2026-08-18 04:00:00,84.42,84.48,83.39,83.445,86387.0
2026-08-19 04:00:00,83.85,84.44,83.23,83.56,113835.0
2026-08-20 04:00:00,83.65,84.445,83.11,83.16,92156.0
2026-08-21 04:00:00,83.42,83.42,80.73,80.935,62064.0
2026-08-24 04:00:00,81.1,81.52,80.49,81.41,121410.0
2026-08-25 04:00:00,81.61,81.8,81.19,81.43,77001.0
2026-08-26 04:00:00,81.64,82.42,81.64,82.23,68354.0
2026-08-27 04:00:00,81.79,81.79,81.14,81.45,84451.0
2026-08-28 04:00:00,81.855,81.855,80.52,80.66,65961.0
2026-08-31 04:00:00,80.25,81.18,80.17,81.03,100619.0
2026-09-01 04:00:00,81.45,81.7,80.96,81.535,79506.0
2026-09-02 04:00:00,80.64,81.18,80.5,80.77,155266.0
