date,open,high,low,close,volume
2024-05-09 04:00:00,133.59,136.455,133.53,136.34,612067.0
2024-05-10 04:00:00,136.84,136.94,135.22,135.47,334158.0
2024-05-13 04:00:00,135.9,136.88,135.31,136.07,316836.0
2024-05-14 04:00:00,137.0,137.33,135.78,136.82,537811.0
2024-05-15 04:00:00,138.7,138.95,137.11,137.71,571155.0
2024-05-16 04:00:00,137.61,138.185,136.86,136.86,456409.0
2024-05-17 04:00:00,137.38,137.92,136.385,137.74,455304.0
2024-05-20 04:00:00,137.74,137.97,136.22,136.86,422385.0
2024-05-21 04:00:00,136.88,137.22,136.21,136.5,365134.0
2024-05-22 04:00:00,136.38,137.77,135.76,136.0,534242.0
2024-05-23 04:00:00,135.72,135.85,132.83,132.92,588836.0
2024-05-24 04:00:00,133.2,133.74,132.64,133.2,351078.0
2024-05-28 04:00:00,133.94,134.33,130.15,130.31,551851.0
2024-05-29 04:00:00,128.64,128.87,126.77,128.78,790557.0
2024-05-30 04:00:00,129.69,130.6,129.25,129.86,489932.0
2024-05-31 04:00:00,130.72,133.84,129.955,133.71,1523453.0
2024-06-03 04:00:00,134.57,135.36,133.19,133.7,475038.0
2024-06-04 04:00:00,133.99,137.23,133.99,136.47,684594.0
2024-06-05 04:00:00,136.06,136.87,135.01,136.75,538085.0
2024-06-06 04:00:00,135.88,137.11,135.071,137.09,443156.0
2024-06-07 04:00:00,135.81,136.94,135.7,136.66,505327.0
2024-06-10 04:00:00,136.68,139.35,136.57,138.5,878784.0
2024-06-11 04:00:00,137.65,138.64,136.77,136.97,739171.0
2024-06-12 04:00:00,139.65,140.0,136.94,137.34,527488.0
2024-06-13 04:00:00,138.35,139.67,137.82,138.21,454860.0
2024-06-14 04:00:00,137.76,139.45,136.85,139.32,495913.0
2024-06-17 04:00:00,138.63,140.2,137.59,139.36,427018.0
2024-06-18 04:00:00,139.78,141.49,139.78,141.25,411933.0
2024-06-20 04:00:00,140.34,140.94,139.28,140.19,462367.0
2024-06-21 04:00:00,141.16,141.16,139.51,140.96,1175741.0
2024-06-24 04:00:00,141.23,143.84,140.915,143.32,487730.0
2024-06-25 04:00:00,143.35,143.4,140.91,141.12,463295.0
2024-06-26 04:00:00,139.9,140.54,139.03,139.14,545646.0
2024-06-27 04:00:00,139.14,140.645,138.29,140.54,457615.0
2024-06-28 04:00:00,141.38,142.63,140.35,142.61,841776.0
2024-07-01 04:00:00,142.16,142.44,139.6,141.18,422626.0
2024-07-02 04:00:00,141.81,142.26,139.98,141.01,518407.0
2024-07-03 04:00:00,140.55,141.14,138.81,139.43,311783.0
2024-07-05 04:00:00,139.79,140.22,138.58,138.8,489746.0
2024-07-08 04:00:00,139.04,139.68,138.14,139.14,666340.0
2024-07-09 04:00:00,139.52,139.92,137.51,139.11,754278.0
2024-07-10 04:00:00,139.73,140.18,138.84,140.02,478066.0
2024-07-11 04:00:00,142.21,143.52,140.635,140.96,648219.0
2024-07-12 04:00:00,141.87,142.18,139.74,140.64,957363.0
2024-07-15 04:00:00,139.51,141.7,139.38,139.95,944989.0
2024-07-16 04:00:00,140.36,143.01,139.8,142.63,663044.0
2024-07-17 04:00:00,142.64,144.58,142.64,144.28,639892.0
2024-07-18 04:00:00,143.48,147.935,143.48,144.79,617619.0
2024-07-19 04:00:00,145.5,145.5,142.78,143.7,442133.0
2024-07-22 04:00:00,143.82,145.47,143.17,145.03,497590.0
2024-07-23 04:00:00,144.73,145.725,143.48,143.71,577860.0
2024-07-24 04:00:00,143.71,144.6421,142.74,143.41,472334.0
2024-07-25 04:00:00,143.63,145.46,138.89,140.12,855252.0
2024-07-26 04:00:00,140.58,143.4125,140.13,142.5,496776.0
2024-07-29 04:00:00,142.78,144.04,141.31,143.16,532763.0
2024-07-30 04:00:00,143.49,143.945,140.3,141.31,621228.0
2024-07-31 04:00:00,141.0,141.84,139.6,139.77,908361.0
2024-08-01 04:00:00,141.49,147.35,141.49,146.41,835353.0
2024-08-02 04:00:00,147.56,152.025,146.81,150.02,1152170.0
2024-08-05 04:00:00,149.0,149.0,145.8,146.52,938038.0
2024-08-06 04:00:00,146.51,150.75,146.51,150.24,844117.0
2024-08-07 04:00:00,150.6,154.19,149.82,150.91,1489499.0
2024-08-08 04:00:00,151.05,153.4,150.63,153.07,754200.0
2024-08-09 04:00:00,153.07,153.455,151.15,153.07,765238.0
2024-08-12 04:00:00,154.65,154.65,151.49,152.25,678778.0
2024-08-13 04:00:00,153.34,153.97,152.475,153.0,589634.0
2024-08-14 04:00:00,153.0,153.89,152.065,153.33,634876.0
2024-08-15 04:00:00,153.33,154.75,152.02,153.35,638617.0
2024-08-16 04:00:00,153.43,153.94,151.36,152.84,671669.0
2024-08-19 04:00:00,153.27,153.94,151.86,152.65,517097.0
2024-08-20 04:00:00,153.09,153.4435,151.56,153.1,550554.0
2024-08-21 04:00:00,153.45,153.625,152.41,153.0,852176.0
2024-08-22 04:00:00,153.77,155.2176,152.55,154.21,731254.0
2024-08-23 04:00:00,154.84,157.18,154.49,156.63,858125.0
