date,open,high,low,close,volume
2026-04-16 04:00:00,41.24,41.41,40.25,40.92,737208.0
2026-04-17 04:00:00,41.0,41.26,40.43,40.5,536077.0
2026-04-20 04:00:00,40.49,40.84,40.27,40.46,300580.0
2026-04-21 04:00:00,40.14,40.18,38.705,39.42,1238653.0
2026-04-22 04:00:00,39.17,39.315,38.855,39.15,1254297.0
2026-04-23 04:00:00,39.15,39.2,38.03,38.51,663807.0
2026-04-24 04:00:00,40.06,41.23,39.895,41.18,1704511.0
2026-04-27 04:00:00,40.67,41.66,40.585,41.18,1175599.0
2026-04-28 04:00:00,41.23,42.07,41.11,41.17,688276.0
2026-04-29 04:00:00,40.76,40.76,39.7,40.28,2240221.0
2026-04-30 04:00:00,41.85,42.85,41.715,42.195,1294070.0
2026-05-01 04:00:00,43.32,44.04,43.1,43.88,1217004.0
2026-05-04 04:00:00,44.15,44.57,43.845,44.4,968442.0
2026-05-05 04:00:00,44.49,45.12,44.22,44.9,1268852.0
2026-05-06 04:00:00,46.29,47.5,45.54,45.75,1007248.0
2026-05-07 04:00:00,46.55,47.07,45.76,45.785,990855.0
2026-05-08 04:00:00,45.96,46.14,45.215,46.08,709070.0
2026-05-11 04:00:00,46.75,47.75,46.27,46.39,976360.0
2026-05-12 04:00:00,47.02,47.1,46.295,46.99,681423.0
2026-05-13 04:00:00,47.03,47.21,46.65,47.08,588365.0
2026-05-14 04:00:00,46.83,46.83,45.56,45.8,620481.0
2026-05-15 04:00:00,45.37,45.405,44.26,44.72,779433.0
2026-05-18 04:00:00,44.7,45.07,43.97,44.255,1017059.0
2026-05-19 04:00:00,44.38,44.83,44.08,44.28,547960.0
2026-05-20 04:00:00,44.69,45.245,44.43,45.075,627849.0
2026-05-21 04:00:00,44.07,44.575,43.74,44.37,658775.0
2026-05-22 04:00:00,44.68,45.17,44.47,44.95,722740.0
2026-05-26 04:00:00,44.73,44.98,44.18,44.19,550282.0
2026-05-27 04:00:00,44.205,45.22,44.18,44.56,427139.0
2026-05-28 04:00:00,44.09,46.04,44.06,45.5,992659.0
2026-05-29 04:00:00,45.48,45.89,45.16,45.6,458025.0
2026-06-01 04:00:00,45.39,45.39,43.99,44.055,631970.0
2026-06-02 04:00:00,43.49,43.59,42.255,42.91,1054606.0
2026-06-03 04:00:00,42.705,42.765,41.905,42.01,833776.0
2026-06-04 04:00:00,43.075,44.37,42.99,43.745,945315.0
2026-06-05 04:00:00,44.08,44.2,42.86,42.94,870633.0
2026-06-08 04:00:00,42.225,42.39,41.0,41.005,1299160.0
2026-06-09 04:00:00,41.09,42.31,41.09,42.19,871811.0
2026-06-10 04:00:00,41.76,44.02,41.66,42.79,968625.0
2026-06-11 04:00:00,42.96,44.1,42.96,43.97,814775.0
2026-06-12 04:00:00,43.94,44.59,43.73,43.88,990644.0
2026-06-15 04:00:00,44.69,44.79,43.815,43.905,536695.0
2026-06-16 04:00:00,44.02,44.1,43.365,43.57,348165.0
2026-06-17 04:00:00,44.97,44.99,43.465,43.515,618858.0
2026-06-18 04:00:00,43.46,43.49,42.515,43.19,564340.0
2026-06-22 04:00:00,43.94,46.45,43.905,45.89,1351019.0
2026-06-23 04:00:00,46.8,47.43,46.435,47.4,1140352.0
2026-06-24 04:00:00,47.11,47.645,47.03,47.41,791253.0
2026-06-25 04:00:00,47.815,48.24,47.33,47.62,697273.0
2026-06-26 04:00:00,47.13,48.5,47.0,48.01,1340741.0
2026-06-29 04:00:00,47.68,48.475,47.68,48.33,490881.0
2026-06-30 04:00:00,48.525,48.61,47.89,47.93,518362.0
2026-07-01 04:00:00,49.04,49.54,48.615,48.78,540140.0
2026-07-02 04:00:00,49.85,50.89,49.82,50.43,690761.0
2026-07-06 04:00:00,49.16,49.47,48.58,49.26,784253.0
2026-07-07 04:00:00,50.305,50.42,49.31,49.62,515265.0
2026-07-08 04:00:00,48.75,49.46,48.535,48.895,479791.0
2026-07-09 04:00:00,48.665,49.37,48.59,48.86,290282.0
2026-07-10 04:00:00,49.2,49.635,48.74,49.48,379575.0
2026-07-13 04:00:00,49.175,49.665,48.8,49.28,437758.0
2026-07-14 04:00:00,48.775,49.265,48.3,49.08,365097.0
2026-07-15 04:00:00,49.41,51.0,49.41,50.54,562885.0
2026-07-16 04:00:00,50.81,51.765,50.63,51.47,557579.0
2026-07-17 04:00:00,50.98,51.39,50.26,50.31,545667.0
2026-07-20 04:00:00,50.42,50.5,49.565,49.64,391209.0
2026-07-21 04:00:00,49.22,49.825,48.95,49.375,354778.0
2026-07-22 04:00:00,49.54,49.54,47.985,48.185,437384.0
2026-07-23 04:00:00,48.3,48.925,48.12,48.19,577852.0
2026-07-24 04:00:00,48.905,49.52,48.71,48.78,407270.0
2026-07-27 04:00:00,49.17,49.96,48.82,49.68,558170.0
2026-07-28 04:00:00,49.95,51.23,49.95,50.945,596372.0
2026-07-29 04:00:00,51.0,52.11,50.94,51.58,571140.0
2026-07-30 04:00:00,50.7,51.61,50.57,51.585,733334.0
2026-07-31 04:00:00,47.395,47.54,46.46,47.08,1502254.0
2026-08-03 04:00:00,47.04,47.19,46.195,47.09,797471.0
2026-08-04 04:00:00,47.58,49.14,43.7,44.24,3123443.0
2026-08-05 04:00:00,44.935,45.72,44.385,44.5,1267111.0
2026-08-06 04:00:00,45.61,45.98,44.94,45.97,492213.0
2026-08-07 04:00:00,47.16,47.48,46.735,47.245,934469.0
2026-08-10 04:00:00,46.93,47.73,46.67,47.73,627435.0
2026-08-11 04:00:00,47.56,47.66,46.93,47.17,489720.0
2026-08-12 04:00:00,45.83,46.545,45.57,46.385,552224.0
2026-08-13 04:00:00,45.96,46.785,45.74,46.73,607035.0
2026-08-14 04:00:00,46.895,47.025,45.75,45.89,692669.0
2026-08-17 04:00:00,45.12,45.42,44.685,44.88,845590.0
2026-08-18 04:00:00,44.93,46.06,44.77,45.7,893741.0
2026-08-19 04:00:00,46.01,47.19,45.86,46.46,882278.0
2026-08-20 04:00:00,46.8,46.84,46.11,46.18,542150.0
2026-08-21 04:00:00,46.35,47.16,46.35,46.73,457739.0
2026-08-24 04:00:00,47.03,47.3,46.57,46.93,519790.0
2026-08-25 04:00:00,47.82,48.66,47.585,48.645,792182.0
2026-08-26 04:00:00,47.76,48.035,46.87,47.19,515401.0
2026-08-27 04:00:00,46.03,46.325,45.71,46.26,574561.0
2026-08-28 04:00:00,46.09,46.2,45.405,45.6,494916.0
2026-08-31 04:00:00,45.25,45.605,44.965,45.33,503386.0
2026-09-01 04:00:00,45.815,46.135,45.065,45.135,506814.0
2026-09-02 04:00:00,46.01,47.005,45.95,46.755,632966.0
