date,open,high,low,close,volume
2026-04-10 04:00:00,127.39,127.94,126.47,127.19,2468393.0
2026-04-13 04:00:00,127.19,127.5,125.63,127.38,2332433.0
2026-04-14 04:00:00,127.01,127.09,123.61,125.43,3169843.0
2026-04-15 04:00:00,125.24,125.27,121.81,123.48,2975206.0
2026-04-16 04:00:00,123.1,125.0,123.1,124.37,2789234.0
2026-04-17 04:00:00,125.85,127.885,125.0,126.25,3076908.0
2026-04-20 04:00:00,126.11,128.485,125.62,128.31,2259385.0
2026-04-21 04:00:00,128.19,129.31,125.25,126.18,2985984.0
2026-04-22 04:00:00,126.54,127.89,124.53,125.27,2317660.0
2026-04-23 04:00:00,126.46,128.71,126.11,126.97,3322971.0
2026-04-24 04:00:00,126.61,127.73,125.2001,127.0,2725252.0
2026-04-27 04:00:00,125.71,128.579,125.555,127.2,4051201.0
2026-04-28 04:00:00,128.3,128.3,118.42,119.61,6219088.0
2026-04-29 04:00:00,119.595,121.7,117.87,118.14,3403149.0
2026-04-30 04:00:00,118.46,120.22,118.1201,118.8,2821890.0
2026-05-01 04:00:00,118.7,118.99,116.02,116.08,2693127.0
2026-05-04 04:00:00,115.29,116.57,113.87,114.37,2472048.0
2026-05-05 04:00:00,114.82,115.04,112.6901,113.42,2633322.0
2026-05-06 04:00:00,115.49,117.1,114.82,116.51,2870169.0
2026-05-07 04:00:00,116.26,117.39,113.97,114.05,2358701.0
2026-05-08 04:00:00,114.46,114.915,113.56,114.31,2029097.0
2026-05-11 04:00:00,114.16,114.5599,112.24,112.96,2440827.0
2026-05-12 04:00:00,112.81,113.38,111.23,113.03,2079718.0
2026-05-13 04:00:00,112.46,113.13,111.56,111.78,1965502.0
2026-05-14 04:00:00,112.45,113.245,111.93,112.6,2229317.0
2026-05-15 04:00:00,112.08,112.35,109.83,110.32,2732909.0
2026-05-18 04:00:00,110.9,111.84,109.5,111.68,2864165.0
2026-05-19 04:00:00,110.97,111.205,108.73,109.38,2765228.0
2026-05-20 04:00:00,109.53,112.35,108.595,111.64,2774475.0
2026-05-21 04:00:00,110.74,110.74,107.78,109.34,3370726.0
2026-05-22 04:00:00,109.51,109.96,108.46,109.35,2403844.0
2026-05-26 04:00:00,110.97,112.02,110.23,112.01,2728709.0
2026-05-27 04:00:00,112.61,113.82,112.03,112.26,2941349.0
2026-05-28 04:00:00,111.6,113.07,110.61,112.22,2117262.0
2026-05-29 04:00:00,110.16,112.21,110.16,110.37,3645516.0
2026-06-01 04:00:00,108.88,109.7,106.77,109.47,3339157.0
2026-06-02 04:00:00,109.82,114.05,109.82,112.89,2595757.0
2026-06-03 04:00:00,113.3,115.7975,112.675,114.38,3094991.0
2026-06-04 04:00:00,115.82,118.76,114.56,118.065,5082823.0
2026-06-05 04:00:00,117.62,118.73,116.19,116.68,3675713.0
2026-06-08 04:00:00,117.26,119.23,116.17,118.44,3186820.0
2026-06-09 04:00:00,118.63,120.6,116.73,119.69,3084269.0
2026-06-10 04:00:00,119.43,120.9457,113.94,113.99,2632192.0
2026-06-11 04:00:00,114.65,118.17,114.15,117.58,3204156.0
2026-06-12 04:00:00,118.25,119.095,117.0,118.52,2618487.0
2026-06-15 04:00:00,120.64,121.84,119.74,120.69,2834467.0
2026-06-16 04:00:00,121.34,122.58,120.97,121.04,2638437.0
2026-06-17 04:00:00,120.3,121.145,116.355,117.34,5593665.0
2026-06-18 04:00:00,118.41,120.92,118.02,118.95,6428119.0
2026-06-22 04:00:00,119.3,121.59,119.0101,120.12,3711226.0
2026-06-23 04:00:00,120.03,120.03,116.76,116.78,3336965.0
2026-06-24 04:00:00,117.4,118.525,116.315,117.03,3501921.0
2026-06-25 04:00:00,117.86,123.03,117.86,121.68,2699802.0
2026-06-26 04:00:00,121.0,121.83,119.54,120.68,4509429.0
2026-06-29 04:00:00,120.24,120.24,118.38,119.6,2222163.0
2026-06-30 04:00:00,119.6,121.81,119.01,120.12,3321518.0
2026-07-01 04:00:00,120.07,121.85,119.0,121.24,2786613.0
2026-07-02 04:00:00,121.24,121.73,118.66,119.5,2906016.0
2026-07-06 04:00:00,120.91,126.05,120.455,125.91,3900345.0
2026-07-07 04:00:00,125.55,126.2375,122.9,124.46,3201797.0
2026-07-08 04:00:00,123.66,123.71,121.51,122.5,4478030.0
2026-07-09 04:00:00,122.56,124.16,121.3,123.28,2729793.0
2026-07-10 04:00:00,122.92,125.59,122.92,124.57,1922456.0
2026-07-13 04:00:00,125.42,126.24,123.92,124.26,2691761.0
2026-07-14 04:00:00,124.45,125.5,122.66,123.94,2159405.0
2026-07-15 04:00:00,124.42,124.63,122.395,123.15,1868617.0
2026-07-16 04:00:00,123.71,126.795,123.19,126.67,2624388.0
2026-07-17 04:00:00,126.42,128.255,124.85,126.2,3627652.0
2026-07-20 04:00:00,126.79,127.14,124.294,124.33,2428602.0
2026-07-21 04:00:00,125.52,126.88,124.38,126.25,4470048.0
2026-07-22 04:00:00,127.0,131.845,126.815,131.11,4800878.0
2026-07-23 04:00:00,130.64,133.485,130.5,130.75,5359363.0
2026-07-24 04:00:00,130.72,133.9,130.455,132.24,3797760.0
2026-07-27 04:00:00,132.82,134.27,131.42,133.44,3687108.0
