date,open,high,low,close,volume
2026-04-16 04:00:00,41.7,41.9,41.035,41.2,178296.0
2026-04-17 04:00:00,42.615,43.42,42.12,42.25,233374.0
2026-04-20 04:00:00,42.6,42.96,42.36,42.72,146431.0
2026-04-21 04:00:00,42.81,43.02,41.17,41.24,136197.0
2026-04-22 04:00:00,41.51,41.53,39.37,39.7,327573.0
2026-04-23 04:00:00,39.945,41.19,39.945,40.52,241338.0
2026-04-24 04:00:00,40.255,40.37,39.57,39.92,227349.0
2026-04-27 04:00:00,39.86,40.53,39.86,40.045,293215.0
2026-04-28 04:00:00,40.335,41.02,39.02,40.55,428960.0
2026-04-29 04:00:00,40.595,40.655,39.54,39.68,277000.0
2026-04-30 04:00:00,37.9,39.23,36.69,38.39,629268.0
2026-05-01 04:00:00,39.095,39.99,39.07,39.44,286711.0
2026-05-04 04:00:00,39.17,40.04,37.975,37.98,294033.0
2026-05-05 04:00:00,38.53,39.875,38.53,39.525,360413.0
2026-05-06 04:00:00,41.07,42.29,41.07,41.92,307704.0
2026-05-07 04:00:00,42.27,42.7,41.57,41.63,261670.0
2026-05-08 04:00:00,41.91,42.56,41.31,41.56,424280.0
2026-05-11 04:00:00,41.87,41.87,40.835,40.92,207016.0
2026-05-12 04:00:00,41.035,41.22,39.925,40.6,186887.0
2026-05-13 04:00:00,40.65,41.19,40.38,40.445,218378.0
2026-05-14 04:00:00,40.85,40.965,39.95,40.05,119225.0
2026-05-15 04:00:00,39.085,39.17,37.335,37.485,208653.0
2026-05-18 04:00:00,37.82,38.28,37.255,37.355,132904.0
2026-05-19 04:00:00,36.79,36.79,35.595,35.63,192018.0
2026-05-20 04:00:00,36.05,37.31,35.53,37.145,282309.0
2026-05-21 04:00:00,36.41,37.85,36.265,37.75,188904.0
2026-05-22 04:00:00,38.13,38.175,37.21,38.06,216883.0
2026-05-26 04:00:00,38.52,39.26,38.51,39.2,285520.0
2026-05-27 04:00:00,39.575,40.175,39.45,39.9,287407.0
2026-05-28 04:00:00,39.44,41.135,39.12,41.045,277189.0
2026-05-29 04:00:00,40.56,42.19,40.21,41.165,286177.0
