date,open,high,low,close,volume
2026-04-13 04:00:00,57.55,61.395,56.75,61.295,478186.0
2026-04-14 04:00:00,62.135,63.37,59.39,59.73,263345.0
2026-04-15 04:00:00,61.915,66.09,60.52,66.0,456873.0
2026-04-16 04:00:00,70.15,70.89,66.9,68.75,645394.0
2026-04-17 04:00:00,70.115,70.335,65.93,66.995,535686.0
2026-04-20 04:00:00,66.56,71.57,66.56,71.49,295097.0
2026-04-21 04:00:00,72.045,75.92,70.8,71.21,235416.0
2026-04-22 04:00:00,71.28,74.585,70.38,74.01,345694.0
2026-04-23 04:00:00,67.305,68.05,65.21,67.615,310792.0
2026-04-24 04:00:00,68.78,71.94,68.47,71.525,279097.0
2026-04-27 04:00:00,69.45,71.94,68.86,69.215,201234.0
2026-04-28 04:00:00,69.87,72.62,69.39,69.71,195199.0
2026-04-29 04:00:00,69.51,70.69,68.66,70.475,240530.0
2026-04-30 04:00:00,69.0,69.27,66.59,68.59,366390.0
2026-05-01 04:00:00,83.155,90.195,82.09,88.91,967245.0
2026-05-04 04:00:00,88.2,96.3,87.57,93.19,561291.0
2026-05-05 04:00:00,92.53,93.68,88.965,92.44,310373.0
2026-05-06 04:00:00,91.48,91.48,84.55,88.82,635151.0
2026-05-07 04:00:00,91.845,94.895,90.48,92.37,480550.0
2026-05-08 04:00:00,88.81,92.12,84.48,91.56,413816.0
2026-05-11 04:00:00,89.97,92.23,84.945,87.295,349724.0
2026-05-12 04:00:00,87.52,88.1,83.42,85.005,312643.0
2026-05-13 04:00:00,84.035,84.77,80.23,80.61,222031.0
2026-05-14 04:00:00,80.6,82.48,78.23,80.82,249864.0
2026-05-15 04:00:00,82.495,89.145,82.495,87.5,215599.0
2026-05-18 04:00:00,85.875,91.24,85.875,89.47,250922.0
2026-05-19 04:00:00,93.48,94.31,85.85,86.6,302762.0
2026-05-20 04:00:00,84.185,86.7,82.28,86.235,254697.0
2026-05-21 04:00:00,82.87,84.12,81.045,82.16,202470.0
2026-05-22 04:00:00,84.48,88.445,83.74,85.44,206073.0
2026-05-26 04:00:00,83.29,86.01,82.275,84.91,212649.0
2026-05-27 04:00:00,84.605,90.715,84.605,89.11,264742.0
2026-05-28 04:00:00,91.12,95.2,89.115,93.31,353066.0
2026-05-29 04:00:00,98.47,108.425,97.57,107.755,654089.0
2026-06-01 04:00:00,114.715,119.38,110.47,115.94,440422.0
2026-06-02 04:00:00,103.58,109.615,103.42,109.12,289227.0
2026-06-03 04:00:00,106.01,106.01,99.77,101.495,389827.0
2026-06-04 04:00:00,105.24,106.13,100.6,101.46,245730.0
2026-06-05 04:00:00,101.625,103.29,96.94,99.48,194077.0
2026-06-08 04:00:00,98.21,99.69,96.32,97.89,158380.0
2026-06-09 04:00:00,95.95,98.985,92.02,95.64,153473.0
2026-06-10 04:00:00,93.1,96.575,91.1,91.46,177412.0
2026-06-11 04:00:00,88.925,91.62,86.59,89.21,363013.0
2026-06-12 04:00:00,89.49,89.95,84.8,88.59,233014.0
2026-06-15 04:00:00,89.82,93.83,88.44,91.57,181120.0
2026-06-16 04:00:00,89.97,92.75,87.02,87.89,264230.0
2026-06-17 04:00:00,86.48,88.46,83.85,84.36,206285.0
2026-06-18 04:00:00,83.685,85.63,81.93,82.705,175405.0
