date,open,high,low,close,volume
2026-04-16 04:00:00,103.67,105.71,103.555,105.05,282215.0
2026-04-17 04:00:00,106.14,107.57,105.655,106.45,203611.0
2026-04-20 04:00:00,105.73,107.44,105.73,107.14,120869.0
2026-04-21 04:00:00,107.53,108.065,105.625,106.29,147055.0
2026-04-22 04:00:00,106.42,106.55,105.29,105.315,164511.0
2026-04-23 04:00:00,106.575,108.27,106.575,107.75,241549.0
2026-04-24 04:00:00,107.38,107.56,106.47,107.035,182443.0
2026-04-27 04:00:00,107.61,108.52,107.18,108.19,257229.0
2026-04-28 04:00:00,103.81,105.91,100.605,103.935,547452.0
2026-04-29 04:00:00,104.355,106.74,103.36,106.63,272270.0
2026-04-30 04:00:00,107.105,109.09,107.0,108.86,209865.0
2026-05-01 04:00:00,109.34,109.77,106.95,107.6,182992.0
2026-05-04 04:00:00,102.535,102.82,95.98,96.315,775407.0
2026-05-05 04:00:00,96.93,98.36,96.83,98.025,237232.0
2026-05-06 04:00:00,98.68,100.75,98.61,99.9,243511.0
2026-05-07 04:00:00,100.355,101.09,99.395,100.11,228406.0
2026-05-08 04:00:00,100.61,101.02,100.09,100.75,233360.0
2026-05-11 04:00:00,100.73,100.82,99.85,100.02,271147.0
2026-05-12 04:00:00,99.56,99.855,96.96,98.45,206919.0
2026-05-13 04:00:00,98.235,99.17,98.02,98.455,135053.0
2026-05-14 04:00:00,99.05,99.99,97.965,98.4,250121.0
2026-05-15 04:00:00,97.985,99.285,97.78,98.92,175419.0
2026-05-18 04:00:00,96.78,96.79,94.49,95.62,220291.0
2026-05-19 04:00:00,94.9,96.865,93.88,96.805,177327.0
2026-05-20 04:00:00,96.435,98.96,96.22,98.85,253649.0
2026-05-21 04:00:00,98.18,99.095,97.26,98.255,188323.0
2026-05-22 04:00:00,99.15,101.17,98.95,100.99,185824.0
2026-05-26 04:00:00,101.81,102.62,101.465,102.005,168552.0
2026-05-27 04:00:00,103.145,104.84,103.0,104.5,326632.0
2026-05-28 04:00:00,103.51,106.86,103.225,106.65,410981.0
2026-05-29 04:00:00,106.53,107.31,105.4,106.81,283400.0
2026-06-01 04:00:00,105.28,109.715,105.17,109.08,319537.0
2026-06-02 04:00:00,108.825,110.285,108.425,108.97,265070.0
2026-06-03 04:00:00,108.96,110.84,108.4,108.685,204346.0
2026-06-04 04:00:00,109.87,111.2,109.58,110.24,223445.0
2026-06-05 04:00:00,110.43,110.43,108.54,108.54,139858.0
2026-06-08 04:00:00,108.875,109.205,107.615,107.755,218381.0
2026-06-09 04:00:00,108.21,109.13,106.07,107.83,286762.0
2026-06-10 04:00:00,105.69,105.84,102.86,103.26,208438.0
2026-06-11 04:00:00,104.225,108.61,104.14,108.61,260024.0
2026-06-12 04:00:00,110.11,110.11,107.27,108.11,137906.0
2026-06-15 04:00:00,109.49,110.55,108.29,108.86,191535.0
2026-06-16 04:00:00,109.735,110.815,109.68,110.035,347482.0
2026-06-17 04:00:00,109.885,110.005,104.95,105.13,275919.0
2026-06-18 04:00:00,106.64,107.61,104.85,105.06,194022.0
