date,open,high,low,close,volume
2024-09-03 04:00:00,89.75,89.85,88.46,89.03,748215.0
2024-09-04 04:00:00,89.09,89.63,87.61,87.76,402326.0
2024-09-05 04:00:00,88.41,88.42,87.03,87.14,394754.0
2024-09-06 04:00:00,87.39,87.82,85.665,86.035,475774.0
2024-09-09 04:00:00,86.29,87.41,86.14,86.585,555437.0
2024-09-10 04:00:00,86.81,86.83,84.415,85.11,817375.0
2024-09-11 04:00:00,84.97,85.16,83.02,84.32,614807.0
2024-09-12 04:00:00,84.58,85.435,84.05,85.13,578269.0
2024-09-13 04:00:00,85.42,86.23,85.355,85.58,499695.0
2024-09-16 04:00:00,86.47,87.11,85.93,86.58,265281.0
2024-09-17 04:00:00,86.52,87.79,86.46,87.76,402733.0
2024-09-18 04:00:00,87.61,88.9,87.52,87.94,520642.0
2024-09-19 04:00:00,89.3,89.955,88.49,88.99,572014.0
2024-09-20 04:00:00,88.6,88.965,87.79,88.75,384245.0
2024-09-23 04:00:00,88.1,89.55,87.9,89.1,476757.0
2024-09-24 04:00:00,90.04,90.1,88.78,88.88,331422.0
2024-09-25 04:00:00,88.64,88.92,86.99,87.2,415073.0
2024-09-26 04:00:00,85.36,86.565,85.175,85.43,841818.0
2024-09-27 04:00:00,85.96,87.315,85.89,87.14,530025.0
2024-09-30 04:00:00,87.025,87.95,86.58,87.81,383059.0
2024-10-01 04:00:00,87.15,90.155,86.91,89.76,1326073.0
2024-10-02 04:00:00,90.9,91.27,89.71,90.73,737681.0
2024-10-03 04:00:00,90.98,92.435,90.35,92.3,610349.0
2024-10-04 04:00:00,93.03,93.46,92.26,93.2,647425.0
2024-10-07 04:00:00,93.35,94.21,93.205,93.53,617256.0
2024-10-08 04:00:00,92.32,92.36,90.64,91.05,750669.0
2024-10-09 04:00:00,90.38,91.85,90.225,91.59,311380.0
2024-10-10 04:00:00,92.12,92.72,91.49,92.3,393578.0
2024-10-11 04:00:00,92.215,93.135,92.045,92.77,334347.0
2024-10-14 04:00:00,92.28,92.91,92.035,92.66,326904.0
2024-10-15 04:00:00,90.26,90.88,89.73,89.82,687524.0
2024-10-16 04:00:00,90.275,90.495,89.97,90.2,294703.0
2024-10-17 04:00:00,90.345,90.91,90.105,90.7,302681.0
2024-10-18 04:00:00,90.58,90.67,89.73,90.37,347195.0
2024-10-21 04:00:00,91.015,91.22,89.91,90.15,287834.0
